Generation,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100,pop
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,.25
1000,8926.58,8872.13,8886.45,8892.28,8958.74,8889.27,8937.04,8902.67,8917.28,8935.66,8905.84,8927.69,8862.03,8906.99,8909.39,8875.07,8922.12,8867.85,8897.97,8902.02,8926.59,8867.59,8902.33,8906.04,8894.0,8918.35,8928.31,8953.44,8903.17,8887.73,8896.35,8904.34,8887.45,8884.94,8882.76,8907.92,8948.48,8883.21,8914.64,8925.71,8919.5,8938.12,8925.25,8906.89,8899.69,8872.41,8929.38,8847.56,8894.81,8911.54,8892.59,8923.96,8855.19,8923.93,8895.85,8888.4,8894.04,8913.42,8926.14,8874.25,8913.8,8881.35,8907.72,8917.07,8931.9,8952.75,8928.05,8897.84,8883.86,8887.99,8906.24,8898.44,8885.56,8903.15,8882.69,8895.77,8905.48,8877.21,8885.48,8876.54,8919.27,8868.12,8924.05,8877.09,8911.88,8927.48,8828.85,8912.77,8913.21,8899.72,8897.58,8877.03,8885.65,8898.85,8856.38,8901.58,8895.28,8940.71,8864.15,8902.57,.25
2000,7858.6,7815.73,7782.27,7788.55,7883.83,7812.15,7890.74,7842.75,7879.11,7843.83,7855.76,7859.6,7778.11,7789.42,7818.4,7847.72,7861.11,7792.32,7822.13,7796.12,7830.54,7686.89,7838.53,7865.06,7861.66,7853.79,7837.16,7845.73,7789.01,7786.27,7791.75,7820.38,7842.44,7782.56,7818.91,7776.98,7871.11,7810.44,7844.56,7855.2,7890.65,7787.13,7825.5,7826.44,7816.54,7784.67,7863.4,7820.11,7802.95,7843.18,7788.02,7866.97,7752.68,7842.05,7843.27,7841.24,7808.28,7778.93,7853.08,7795.08,7858.03,7783.96,7807.17,7844.83,7826.06,7911.54,7842.2,7813.43,7789.83,7851.87,7854.68,7839.59,7781.43,7840.2,7770.32,7823.12,7825.26,7776.67,7816.17,7801.54,7801.15,7815.76,7796.17,7783.27,7837.96,7900.88,7734.28,7841.27,7803.52,7844.83,7831.21,7816.24,7828.81,7853.01,7771.8,7834.15,7822.02,7896.34,7768.03,7837.66,.25
3000,6734.35,6713.16,6748.29,6631.29,6854.55,6775.26,6866.64,6754.79,6807.95,6772.78,6845.25,6804.32,6704.51,6707.84,6793.55,6775.36,6791.19,6683.14,6793.59,6727.78,6770.19,6608.52,6744.04,6747.08,6852.62,6788.64,6727.87,6810.0,6736.62,6716.92,6730.17,6738.03,6805.18,6701.86,6754.19,6748.75,6712.08,6664.55,6730.76,6802.57,6821.4,6701.27,6802.2,6757.84,6772.77,6704.13,6808.57,6724.03,6749.82,6750.52,6730.67,6762.92,6711.74,6754.85,6749.18,6801.53,6757.27,6723.77,6814.48,6680.79,6767.88,6682.46,6772.53,6792.76,6722.75,6834.22,6749.28,6772.77,6708.79,6775.01,6832.16,6743.25,6725.14,6699.65,6719.74,6751.82,6768.27,6769.42,6731.68,6715.09,6758.61,6805.72,6741.18,6710.99,6740.22,6741.27,6700.23,6789.03,6770.77,6775.79,6783.78,6723.65,6777.43,6799.6,6730.76,6760.46,6708.02,6884.9,6749.51,6759.74,.25
4000,5664.73,5679.11,5743.65,5616.29,5897.12,5793.08,5861.56,5638.55,5832.76,5744.86,5898.53,5771.77,5649.25,5673.62,5754.78,5740.83,5794.02,5683.25,5816.91,5792.32,5748.88,5591.39,5747.01,5690.26,5772.13,5755.93,5658.95,5751.64,5688.22,5698.67,5716.55,5779.03,5761.06,5769.79,5670.88,5710.98,5654.49,5637.06,5665.28,5820.03,5724.46,5618.5,5801.26,5626.23,5651.67,5658.32,5808.54,5580.04,5750.85,5688.31,5753.26,5783.54,5640.75,5689.66,5767.65,5788.38,5727.45,5707.21,5747.54,5722.86,5669.13,5577.71,5793.0,5719.12,5773.24,5761.31,5809.74,5789.18,5691.39,5789.5,5830.91,5707.14,5768.61,5656.46,5775.63,5745.43,5704.48,5683.1,5748.07,5743.13,5783.24,5760.6,5679.63,5690.17,5690.2,5619.62,5674.04,5830.28,5809.5,5753.59,5850.48,5657.27,5771.41,5702.23,5714.21,5786.19,5745.32,5849.73,5684.61,5634.21,.25
5000,4785.98,4797.91,4877.91,4689.07,5175.61,4908.45,4967.49,4695.33,5123.3,4854.02,4964.05,5083.32,4684.86,4699.98,4967.06,4837.58,4909.16,4728.19,4925.01,5078.44,4841.48,4615.16,4884.16,4729.85,4852.21,4823.13,4773.54,4859.13,4780.86,4831.77,4846.52,4902.41,4803.86,4979.14,4738.86,4760.52,4705.24,4734.96,4727.51,4874.26,4791.35,4685.47,5100.84,4729.97,4783.92,4739.61,4955.94,4781.94,4788.64,4731.62,4835.76,5086.37,4765.42,4727.34,4953.3,4894.95,4908.7,4727.47,4832.87,5012.24,4705.94,4671.08,4910.75,4766.34,5084.84,4876.28,5095.89,4981.74,4768.24,4915.02,4837.51,4792.76,4857.27,4667.73,4858.97,4933.0,4866.8,4732.11,4806.33,4879.11,5092.4,4839.98,4917.9,4768.96,4879.24,4696.95,4700.7,4981.99,5122.57,4911.27,5009.92,4712.73,4822.11,4816.02,4730.12,4997.66,4949.6,4980.83,4700.61,4692.52,.25
6000,4026.92,3999.12,4101.18,3897.34,4357.9,4204.26,4176.01,3960.5,4405.64,4097.61,4178.92,4410.64,3873.24,3953.26,4242.02,4005.77,4145.11,3911.1,4181.76,4478.39,4038.24,3810.7,4091.49,3921.92,4013.53,4042.67,3933.54,4016.94,4007.22,4126.31,4044.26,4209.55,4018.96,4269.33,3941.91,3920.76,3933.22,3980.7,3991.67,4090.9,3968.57,3908.47,4382.12,3999.71,3999.39,3973.19,4244.84,4022.32,4036.72,3996.04,4096.39,4413.93,3972.53,3957.17,4132.73,4150.82,4163.78,3959.09,4046.77,4387.4,3930.7,3866.87,4135.45,4024.36,4492.9,4026.28,4471.75,4267.64,3975.91,4061.28,4057.68,3990.97,4096.93,3951.36,4017.27,4216.9,4138.88,3986.67,3987.6,4212.14,4381.54,3990.31,4098.86,3984.86,4129.94,3954.48,3926.43,4249.98,4504.97,4090.26,4259.82,3957.42,4020.62,3994.4,3894.34,4263.87,4184.9,4154.45,3961.39,3914.94,.25
7000,3334.54,3296.92,3398.72,3218.64,3652.87,3519.66,3444.51,3362.76,3714.74,3446.81,3492.35,3823.59,3183.1,3284.69,3607.72,3292.34,3380.57,3289.98,3501.82,3658.1,3331.14,3179.19,3353.96,3295.3,3288.37,3376.29,3305.48,3368.93,3309.64,3527.72,3327.55,3497.13,3293.6,3610.21,3214.79,3318.48,3315.32,3291.27,3350.37,3428.37,3293.66,3217.15,3651.46,3347.18,3366.15,3318.79,3577.77,3389.92,3346.5,3349.45,3377.04,3781.07,3318.4,3259.66,3449.49,3502.54,3416.66,3343.05,3351.93,3665.74,3244.46,3299.37,3455.87,3379.47,3820.23,3349.97,3654.57,3603.69,3312.38,3360.81,3418.97,3349.92,3412.32,3210.86,3389.09,3534.91,3480.5,3379.32,3383.18,3478.62,3718.87,3281.09,3301.6,3337.35,3408.07,3256.55,3280.62,3509.84,3767.89,3361.38,3540.31,3352.98,3359.2,3318.89,3258.58,3676.68,3450.73,3443.27,3288.4,3234.14,.25
8000,2810.87,2723.7,2757.91,2600.05,2976.12,2856.09,2818.02,2789.54,2996.07,2865.02,2901.87,3206.84,2625.61,2750.49,2917.01,2709.66,2786.8,2733.19,2859.78,2977.24,2739.25,2624.36,2754.88,2745.64,2698.72,2823.16,2735.8,2760.25,2762.73,2898.21,2786.9,2868.69,2723.17,2962.36,2622.54,2756.69,2699.1,2687.44,2801.65,2794.0,2694.62,2635.98,2991.41,2712.3,2738.48,2747.45,2885.55,2770.23,2790.8,2779.42,2733.33,3201.83,2682.95,2760.95,2782.06,2896.95,2736.49,2781.61,2767.95,3082.49,2720.73,2686.45,2793.1,2800.63,3269.93,2785.99,2963.0,2950.79,2697.58,2731.52,2823.65,2731.91,2779.55,2713.13,2815.25,2895.73,2873.98,2771.27,2820.62,2795.24,3006.8,2760.74,2794.76,2784.02,2848.93,2685.39,2723.59,2814.98,2990.22,2689.7,2865.25,2753.89,2749.57,2741.81,2690.1,2916.0,2776.71,2800.04,2738.84,2732.53,.25
9000,2286.41,2161.66,2170.19,2141.69,2366.74,2297.12,2255.28,2249.03,2296.62,2323.1,2366.32,2524.76,2089.99,2244.85,2217.2,2197.27,2293.02,2198.92,2286.06,2300.24,2184.67,2074.39,2204.85,2260.12,2187.31,2262.06,2198.22,2197.25,2202.07,2255.78,2256.76,2305.37,2284.51,2335.75,2140.8,2253.8,2232.07,2112.15,2233.37,2238.16,2173.93,2158.85,2333.13,2147.86,2251.27,2204.85,2298.68,2242.22,2231.11,2256.81,2243.98,2399.07,2143.64,2225.82,2201.6,2337.38,2184.48,2307.17,2262.98,2441.79,2213.05,2086.21,2245.73,2271.39,2531.91,2244.14,2300.96,2302.35,2173.93,2140.38,2370.63,2232.26,2228.58,2138.87,2253.71,2346.0,2212.51,2272.36,2307.27,2220.66,2385.25,2220.69,2243.48,2272.32,2296.4,2166.55,2167.34,2238.13,2298.46,2264.3,2238.42,2206.1,2255.56,2192.86,2208.31,2178.95,2174.82,2278.5,2008.73,2213.77,.25
