Generation,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100
26000,10041.1,10125.1,10004.1,10003.0,9826.53,9986.25,9724.87,9762.23,10001.3,10181.4,9973.59,9974.48,9996.83,9872.98,9879.4,10042.5,10006.1,9977.86,10055.9,9743.8,10339.7,10023.4,10008.4,10368.1,9955.18,10012.6,9836.29,9805.02,9996.11,10000.7,9979.93,10028.9,10385.8,9776.4,10004.3,9909.0,10008.1,10053.8,10039.6,10033.6,9887.43,10046.6,9907.07,10204.6,10102.8,9887.18,9622.7,10323.7,10009.0,10118.2,9836.48,9944.21,10197.5,9996.85,10400.7,9865.01,9944.37,9972.68,10036.1,9954.02,10067.1,9893.21,10101.7,10300.3,9973.0,10041.9,10509.9,10037.9,9944.97,10008.6,9972.74,10179.1,10069.7,10342.9,9669.56,10031.3,10054.6,9901.08,10018.3,10134.4,10030.1,10054.5,10091.3,10193.4,10100.4,9880.01,10138.1,9967.21,9983.09,9927.33,10253.3,9822.4,9882.58,9914.79,10028.6,9883.22,10226.3,9839.64,10260.5,10090.1
27000,9991.16,10098.8,10020.4,9998.24,9850.11,10018.5,9740.03,9773.62,9997.41,10192.9,9988.18,10032.2,9987.7,9897.08,9873.26,10036.6,9984.86,10029.4,10063.5,9707.42,10396.5,10002.5,9988.83,10400.6,10028.2,10019.0,9818.4,9776.5,9980.56,9957.41,9981.96,10045.5,10378.8,9783.8,10031.5,9887.68,10000.7,10021.3,10046.4,10049.0,9877.94,10065.8,9923.91,10201.0,10120.2,9941.14,9661.24,10388.1,10043.3,10135.8,9832.63,9969.92,10190.1,10039.1,10433.7,9854.13,9935.82,10011.5,10068.2,9931.68,10093.8,9892.58,10088.4,10270.3,9969.59,10067.2,10495.8,10036.3,9944.86,10007.6,9973.22,10139.7,10044.2,10364.2,9660.59,10016.8,10045.1,9864.65,10017.7,10106.3,10012.0,10056.8,10154.3,10184.3,10066.5,9888.43,10134.6,9973.67,10003.3,9943.22,10264.8,9812.4,9831.57,9914.8,10038.4,9857.14,10262.1,9832.4,10283.4,10020.5
28000,9994.18,10071.2,10067.4,9977.37,9837.63,10079.1,9715.24,9778.89,10013.9,10192.4,9985.02,10037.5,9942.28,9857.2,9910.34,10042.2,9928.45,9942.12,10020.5,9690.41,10378.6,10000.4,9963.23,10395.1,10023.0,9989.27,9815.79,9785.07,9930.87,9930.44,10035.2,10028.3,10372.2,9805.69,10057.9,9868.93,10033.8,10028.1,10032.5,9965.54,9918.63,10061.7,9910.88,10186.1,10106.9,9915.73,9725.32,10393.9,10050.8,10152.6,9795.32,9987.23,10205.6,10041.8,10434.3,9883.23,9978.91,9945.92,10057.3,9912.22,10091.2,9888.78,10046.9,10228.0,9965.87,10053.4,10472.4,10052.2,9979.42,10002.5,9983.25,10179.8,10064.2,10369.0,9693.37,10021.0,10070.0,9972.66,10021.0,10098.3,10006.6,10080.4,10094.5,10156.2,10052.3,9895.55,10210.3,9967.51,10032.6,9909.26,10222.8,9813.08,9755.75,9901.73,10035.7,9801.49,10256.6,9819.47,10253.9,10084.6
29000,9996.69,10099.7,10092.0,9925.08,9820.7,10073.6,9689.06,9748.83,10005.4,10196.9,9960.8,9979.72,9926.58,9843.33,9889.64,10070.7,9895.97,9935.09,9957.88,9623.6,10393.9,10014.2,9960.57,10383.7,10010.6,9976.9,9792.5,9792.24,9916.26,10008.8,10096.8,10047.6,10393.1,9809.74,10075.0,9865.63,10051.3,10039.6,10037.0,10013.4,9939.19,10061.7,9901.49,10213.9,10113.9,9937.99,9690.95,10395.9,10051.3,10139.8,9796.53,9966.1,10210.7,10052.8,10456.8,9833.82,10001.6,9921.94,10045.4,9893.6,10134.4,9842.64,10018.7,10214.2,9969.52,10045.9,10470.2,10019.8,9988.65,10063.6,9996.32,10200.0,10087.4,10326.1,9730.15,10005.2,10075.7,9978.11,10077.7,10080.2,9993.57,10086.8,10045.2,10155.5,10046.4,9864.38,10273.7,9934.96,10043.2,9878.42,10238.1,9792.86,9790.87,9929.83,10028.5,9774.33,10281.9,9797.32,10257.6,10109.5
30000,9981.2,10094.5,10089.0,9939.45,9843.96,10090.4,9695.61,9785.88,10021.6,10195.0,9961.73,9997.35,9916.97,9821.12,9901.72,10099.4,9899.94,9955.75,10036.7,9612.33,10400.3,10051.6,9986.1,10402.3,10027.3,9959.97,9773.54,9801.94,9903.64,10017.2,10105.6,10014.1,10336.8,9759.08,10072.7,9839.63,10062.2,10041.3,10051.5,10033.4,9873.71,10060.2,9983.99,10198.5,10111.9,9977.33,9681.35,10412.7,10082.8,10125.8,9792.61,9960.98,10273.0,10036.4,10428.0,9810.4,9964.11,9904.75,10019.8,9945.04,10155.9,9817.72,10030.0,10214.0,9932.76,10054.1,10446.2,10027.5,10005.4,10025.5,10025.9,10196.9,10061.5,10342.3,9732.89,9976.71,10082.2,9976.8,10056.4,10075.5,9983.42,10113.4,10054.2,10157.8,10080.9,9875.88,10277.7,9978.1,10053.5,9904.5,10273.0,9728.65,9747.8,9951.09,9984.51,9774.15,10289.1,9800.07,10270.7,10084.0
31000,9928.1,10111.0,10128.2,9962.0,9887.23,10113.2,9703.43,9808.27,10110.1,10139.7,9933.88,9963.05,9897.55,9811.78,9859.78,10111.7,9895.13,9949.65,10023.3,9610.8,10379.4,10081.4,10008.4,10420.5,10004.5,9964.67,9774.95,9921.24,9874.66,10030.0,10099.2,9982.72,10320.3,9734.94,10098.0,9840.04,10091.6,10002.1,10083.6,10019.2,9828.15,10075.3,9960.85,10138.7,10106.4,10001.3,9712.47,10426.2,10056.8,10226.3,9808.61,9982.22,10265.9,10098.5,10412.1,9808.3,10013.8,9916.37,10024.9,9978.38,10148.9,9777.71,10084.4,10165.4,9911.68,9978.31,10417.9,10049.9,9979.45,10006.9,10040.2,10165.8,10059.8,10360.7,9693.14,9971.48,10049.3,9980.48,10017.9,10038.8,10042.2,10105.6,10049.0,10163.2,10055.2,9899.27,10281.9,10034.8,10070.1,9861.95,10294.2,9743.01,9736.56,9941.67,9983.5,9816.0,10278.4,9787.31,10256.3,10064.0
32000,9868.17,10089.1,10165.7,9965.49,9860.9,10133.3,9725.79,9809.38,10097.2,10134.3,9992.1,9975.05,9939.76,9808.19,9873.03,10109.6,9866.27,9969.18,9992.46,9645.45,10362.7,10058.5,9990.88,10406.9,10039.3,9990.64,9807.47,9892.8,9877.22,10008.0,10122.5,9977.24,10357.7,9730.28,10101.5,9906.12,10110.9,9975.45,10071.0,10094.1,9831.87,10077.6,9951.27,10149.3,10104.5,10017.8,9686.59,10453.9,10099.6,10233.3,9846.91,9947.52,10263.4,10080.7,10362.7,9800.34,10025.7,9953.52,10079.9,9969.05,10160.1,9749.06,10083.9,10154.6,9846.27,9964.44,10410.2,10038.2,9959.19,10022.5,10062.0,10192.7,10081.6,10391.8,9732.05,9953.19,10030.1,10024.7,9966.34,10073.8,10081.6,10104.5,10034.3,10170.7,10029.8,9922.12,10235.4,10043.7,10070.9,9794.66,10317.7,9756.76,9731.17,9936.68,10024.4,9824.27,10287.4,9793.47,10271.5,10037.5
33000,9886.78,10084.0,10128.2,9979.61,9846.36,10134.0,9710.38,9853.73,10074.8,10206.7,9949.22,9975.11,9925.95,9825.04,9886.4,10140.3,9878.26,9926.2,9993.14,9644.72,10382.1,10023.3,10023.8,10392.5,9997.97,10003.3,9805.0,9921.51,9875.04,10002.1,10121.0,10001.7,10337.5,9754.38,10171.2,9892.89,10097.2,9946.5,10136.9,10074.6,9824.76,10075.5,9952.22,10113.8,10115.0,9992.52,9699.95,10384.8,10093.4,10228.9,9864.92,9921.91,10279.2,10014.4,10362.9,9794.31,10045.4,9959.56,10107.8,10009.0,10175.2,9782.58,10104.0,10141.9,9879.32,9974.65,10409.0,10079.3,9973.04,10036.2,10033.5,10227.4,10056.8,10389.2,9830.57,9927.05,10071.9,10006.5,10014.4,10067.0,10071.1,10106.7,10026.6,10236.5,10045.2,9930.02,10212.3,10045.6,10066.8,9880.45,10311.5,9813.07,9662.08,9936.76,10013.9,9847.16,10286.5,9741.64,10311.6,10023.8
34000,9860.29,10091.9,10148.3,9989.68,9867.9,10169.1,9652.94,9867.47,10058.9,10194.2,9959.31,9943.06,9941.03,9811.15,9862.59,10151.7,9870.73,9868.06,9978.84,9612.29,10367.4,10035.4,10001.9,10396.4,9982.15,10024.8,9787.93,9958.2,9841.18,9976.99,10068.8,10052.2,10334.0,9782.17,10200.5,9890.89,10103.4,9950.28,10099.7,10104.6,9830.69,10069.1,9968.98,10110.8,10108.8,9934.24,9683.82,10382.7,10127.5,10194.9,9889.92,9938.71,10266.0,10004.4,10344.2,9771.26,10070.7,9963.75,10075.0,10002.4,10150.9,9776.75,10143.3,10145.1,9899.73,9987.8,10429.7,10043.9,9994.93,10077.5,10114.8,10215.1,10061.4,10373.8,9817.11,9911.63,10075.3,10030.6,9996.02,10015.2,10027.9,10123.6,10077.6,10280.5,10051.2,9936.71,10201.7,10075.8,10101.7,9944.53,10265.2,9825.81,9674.64,9939.7,10010.8,9844.21,10255.6,9776.12,10324.6,10050.2
35000,9859.61,10098.7,10155.5,9986.68,9897.42,10189.6,9631.69,9888.63,10068.4,10214.5,9954.16,9943.53,9969.9,9769.54,9860.07,10097.6,9862.0,9842.63,9975.65,9613.18,10390.3,10023.2,9965.95,10336.6,10030.6,10036.1,9756.5,9968.77,9902.3,10006.8,10065.3,10120.9,10290.6,9788.32,10223.3,9864.18,10128.1,9952.1,10153.9,10117.7,9836.85,10073.3,9984.62,10083.7,10171.7,9896.46,9643.64,10394.4,10098.0,10215.1,9871.84,9884.13,10282.4,9953.53,10329.5,9736.52,10058.2,9948.64,10088.8,10050.7,10130.5,9799.72,10132.0,10177.3,9870.34,10009.2,10361.9,9993.46,9994.89,10124.7,10090.5,10238.2,10078.4,10391.9,9821.13,9934.61,10060.3,10027.6,10047.1,10033.7,10033.4,10130.9,10067.3,10282.2,10055.1,9949.23,10192.9,10090.2,10092.3,9984.69,10241.1,9804.55,9672.47,9954.31,10012.4,9838.71,10162.5,9800.39,10278.7,10049.5
36000,9876.26,10127.5,10120.1,10004.8,9865.12,10214.1,9642.14,9877.49,10065.5,10228.4,9919.01,9894.1,9943.79,9761.1,9840.81,10093.9,9892.18,9815.81,10008.8,9675.64,10389.2,10028.7,9991.49,10326.4,10053.0,10018.9,9780.54,9983.09,9919.15,10024.7,10060.5,10210.2,10288.2,9712.54,10206.3,9907.51,10147.9,9957.21,10189.6,10118.7,9830.57,10061.4,10046.4,10058.1,10203.1,9873.51,9735.24,10410.8,10077.1,10204.0,9892.29,9954.08,10296.9,9955.42,10282.4,9723.24,10065.2,9968.43,10107.7,10037.9,10173.5,9832.94,10169.3,10202.1,9896.24,10023.5,10384.4,9978.0,9980.32,10147.6,10062.6,10261.1,10071.6,10396.2,9828.63,9911.01,10034.5,10014.1,10080.8,10034.6,10082.7,10122.7,10097.6,10221.3,10045.9,9938.17,10184.1,10066.6,10085.7,9976.7,10282.5,9827.73,9710.98,9968.44,10001.0,9839.09,10095.8,9771.22,10262.5,10032.3
37000,9868.44,10131.5,10172.5,10031.6,9853.13,10239.4,9621.82,9859.69,10038.3,10241.3,9921.21,9892.57,9941.62,9759.82,9850.39,10070.5,9880.24,9787.36,9988.95,9661.57,10410.2,10016.4,9979.04,10338.2,10017.8,9953.89,9762.33,10008.4,9947.93,10064.3,10062.6,10217.0,10270.7,9727.8,10193.4,9906.34,10118.6,9959.9,10117.5,10092.6,9814.85,10084.2,10086.9,10070.8,10237.1,9883.06,9759.39,10429.4,10027.5,10192.7,9857.06,9973.69,10296.8,9946.11,10242.9,9704.56,10064.5,9928.02,10109.7,10034.9,10164.4,9815.83,10263.4,10203.2,9919.61,10048.5,10355.4,9986.92,9944.44,10055.5,10063.2,10293.8,10062.4,10434.6,9741.26,9917.49,10059.5,10004.8,10101.5,10092.3,10074.8,10163.3,10169.5,10213.4,10022.3,9947.97,10168.5,10052.0,10097.3,9978.49,10331.9,9780.06,9708.38,9926.61,10031.9,9847.56,10110.4,9751.26,10298.8,10044.0
38000,9890.43,10140.0,10137.7,10008.4,9871.4,10287.7,9609.14,9892.24,10015.9,10212.1,9903.71,9902.4,9958.23,9740.47,9873.45,10090.0,9868.43,9789.34,9951.32,9638.18,10388.3,10017.8,10088.3,10310.9,10033.8,9962.74,9784.3,9995.57,9991.47,10085.8,10084.5,10209.9,10279.6,9708.83,10152.6,9894.7,10142.7,9965.2,10099.1,10104.1,9758.44,10086.7,10047.8,10100.6,10212.1,9929.68,9739.05,10387.9,10005.1,10144.7,9828.64,10020.7,10318.0,10003.2,10250.6,9674.82,10055.1,9897.27,10134.9,10038.0,10170.2,9803.4,10234.9,10234.7,9926.58,10061.7,10365.3,9976.35,9936.77,10048.4,10100.6,10353.2,10079.8,10436.5,9758.8,9921.66,10059.5,10027.8,10110.2,10073.3,10102.9,10120.3,10175.8,10205.0,9981.9,9922.45,10161.6,10048.3,10122.9,10014.3,10285.3,9797.26,9694.55,9943.78,10062.3,9833.65,10066.9,9759.09,10292.7,10084.6
39000,9876.96,10195.8,10166.5,10047.8,9845.31,10310.8,9626.54,9864.88,10035.4,10214.6,9897.78,9887.97,9959.97,9714.19,9874.0,10092.7,9855.88,9776.75,9984.56,9646.47,10366.6,10021.1,10081.2,10320.3,10054.1,9960.46,9781.55,9970.23,9991.53,10084.7,10132.3,10212.7,10219.3,9704.53,10172.5,9890.77,10164.6,9991.52,10145.7,10174.3,9741.52,10037.0,10037.9,10138.4,10149.6,9953.44,9693.13,10386.3,10018.2,10140.1,9815.29,9995.01,10329.4,9990.69,10247.2,9601.33,10044.6,9911.14,10126.9,10041.2,10161.2,9811.24,10185.9,10257.1,9881.91,10080.6,10307.5,9892.86,9923.88,10059.2,10085.2,10390.6,10038.9,10481.8,9761.78,9934.21,10057.1,10043.4,10108.7,10053.9,10119.7,10164.8,10153.5,10228.4,9895.47,9907.77,10185.5,10050.3,10143.1,10065.3,10325.6,9842.13,9710.28,9937.68,10066.5,9832.68,10064.2,9745.13,10296.8,10058.7
40000,9866.7,10188.9,10161.4,10066.8,9835.82,10287.2,9635.29,9872.84,10019.1,10214.7,9900.36,9898.18,9937.57,9725.88,9950.05,10106.1,9829.5,9775.57,9985.64,9671.31,10352.3,10056.7,10115.7,10373.0,10038.1,9927.36,9775.22,9944.78,9963.23,10110.4,10150.4,10197.3,10271.2,9726.98,10175.0,9881.24,10159.5,10012.7,10198.8,10170.1,9733.29,10060.5,10054.7,10163.3,10157.2,9981.57,9723.95,10349.6,10009.0,10139.5,9813.45,9998.39,10330.7,9978.94,10250.0,9593.7,10047.1,9896.79,10108.6,10045.9,10156.4,9797.18,10194.1,10269.6,9857.71,10048.2,10240.8,9940.07,9907.61,10054.4,10119.2,10399.8,10072.7,10412.3,9749.54,9987.06,10085.3,10028.7,10090.5,10080.0,10117.7,10164.1,10181.9,10230.1,9886.46,9921.74,10123.4,10077.8,10125.3,10062.6,10359.3,9848.72,9796.42,9941.15,10055.5,9830.74,10037.6,9746.88,10283.6,10042.6
41000,9822.62,10203.9,10168.9,10042.6,9837.4,10306.7,9550.0,9816.6,10044.5,10219.1,9902.86,9907.13,9875.66,9723.92,9990.16,10093.4,9861.56,9745.93,9933.48,9711.1,10363.6,10086.9,10117.2,10370.1,10025.7,9961.42,9813.27,9974.54,9955.3,10128.1,10108.0,10190.9,10263.9,9730.17,10180.3,9880.45,10154.3,9988.92,10217.7,10157.9,9706.91,10054.9,10092.2,10117.6,10146.0,10026.7,9739.52,10394.9,10040.4,10100.7,9821.39,9983.64,10347.9,9997.31,10228.2,9566.49,10039.4,9883.87,10099.7,10014.9,10187.0,9764.91,10255.5,10309.1,9882.84,10054.7,10263.8,9857.24,9906.63,10091.7,10045.0,10412.7,10001.7,10437.2,9730.2,10008.6,10116.4,10026.2,10117.4,10083.9,10172.6,10173.9,10191.3,10215.9,9884.1,9953.07,10119.2,10068.6,10144.3,10003.0,10409.2,9827.3,9836.46,9940.4,10109.7,9809.18,10048.7,9724.46,10297.3,10061.9
42000,9818.85,10170.7,10146.6,10066.2,9789.02,10298.6,9574.92,9847.27,10033.7,10174.6,9866.64,9892.69,9855.06,9706.57,10008.4,10101.5,9869.6,9815.95,10037.2,9710.81,10371.7,10041.8,10128.6,10408.7,10033.5,9957.37,9790.97,9931.22,9959.74,10113.4,10079.3,10220.1,10239.2,9749.55,10144.7,9853.69,10158.2,9982.81,10243.1,10160.2,9691.21,10100.8,10126.1,10066.5,10112.7,10038.9,9721.04,10358.0,10019.2,10086.2,9860.12,9955.76,10378.5,10014.1,10238.1,9509.05,10001.3,9888.15,10111.2,10025.6,10226.6,9765.79,10249.8,10265.9,9861.37,10094.8,10252.7,9807.56,9892.26,10114.1,10016.4,10409.1,10022.8,10432.2,9741.71,9991.64,10018.4,10071.2,10125.0,10088.1,10202.8,10139.6,10190.0,10202.6,9871.86,9951.64,10091.7,10007.9,10183.6,9908.42,10424.8,9823.92,9851.79,9978.75,10082.1,9802.1,10052.9,9778.64,10282.6,10043.5
43000,9828.28,10191.9,10159.0,10049.1,9783.19,10323.4,9583.08,9841.46,10026.3,10109.4,9875.13,9907.61,9853.87,9735.78,10010.5,10104.4,9838.2,9863.42,10095.0,9711.76,10368.4,10014.6,10135.7,10379.5,9998.91,9982.84,9780.65,9929.3,9979.47,10096.1,10061.6,10155.9,10254.3,9735.68,10137.8,9856.36,10185.1,9973.55,10282.4,10169.4,9673.42,10091.5,10123.6,10052.0,10034.1,10048.9,9711.85,10345.9,9975.46,10081.4,9879.0,9910.02,10353.2,10014.3,10254.7,9464.7,10007.0,9892.13,10143.9,10028.6,10247.1,9760.33,10206.7,10232.8,9818.24,10106.7,10230.5,9773.7,9880.23,10129.0,10039.1,10449.8,10041.0,10464.8,9756.7,9975.77,9993.07,10063.8,10177.7,10084.6,10229.5,10166.1,10180.8,10231.7,9877.17,9938.79,10076.0,10035.4,10170.9,9950.86,10438.3,9838.84,9858.06,9982.42,10101.3,9826.26,10030.5,9824.83,10238.7,10047.8
44000,9812.76,10167.9,10182.1,10082.1,9784.03,10385.9,9570.91,9846.46,10013.8,10094.8,9894.71,9860.74,9843.98,9723.28,10010.0,10097.8,9814.13,9861.6,10117.5,9616.45,10365.3,10008.6,10143.4,10399.2,9993.55,9961.13,9771.03,9922.65,9976.51,10121.0,10070.9,10157.8,10189.8,9763.34,10164.6,9863.2,10182.7,9963.66,10274.1,10162.7,9655.14,10163.8,10092.4,10078.4,10021.8,10046.2,9719.37,10368.3,9939.79,10024.6,9874.5,9870.26,10374.0,10000.4,10299.0,9476.31,10019.6,9886.29,10114.6,10022.0,10217.5,9795.75,10199.3,10212.4,9809.87,10063.0,10254.3,9807.75,9884.2,10142.0,10032.3,10464.5,10027.6,10492.1,9776.18,9973.69,10009.8,10087.1,10198.8,10053.4,10251.0,10111.4,10158.3,10258.8,9915.64,9976.35,10082.7,10050.6,10152.8,9984.88,10434.8,9789.23,9887.88,9989.36,10103.1,9849.12,9985.82,9839.74,10246.6,10078.4
45000,9773.09,10094.9,10220.7,10065.6,9790.61,10366.8,9577.91,9823.83,10023.5,10083.6,9906.46,9891.9,9798.11,9740.92,9990.34,10113.2,9795.41,9839.82,10047.9,9594.09,10438.2,10002.7,10122.6,10460.5,10071.9,9947.05,9745.18,9940.2,9969.82,10077.2,10075.8,10132.4,10253.7,9677.45,10153.4,9873.52,10180.1,9929.45,10267.0,10186.8,9661.1,10190.5,10043.9,10087.2,10009.1,10042.3,9770.12,10410.0,9948.47,10024.2,9868.34,9867.08,10415.4,10062.9,10258.5,9510.39,10039.4,9902.7,10100.2,10031.9,10199.6,9791.11,10223.6,10216.3,9824.2,10068.0,10247.5,9800.17,9841.46,10096.2,10012.5,10414.6,10085.2,10482.7,9777.3,10031.8,9994.44,10129.6,10188.6,10039.0,10240.2,10078.5,10156.6,10195.0,9911.5,9991.87,10089.8,10040.5,10204.7,10031.5,10421.3,9808.98,9759.81,9993.38,10128.8,9839.31,10036.7,9837.08,10245.4,10010.8
46000,9762.75,10111.3,10164.8,10075.6,9865.94,10370.1,9622.55,9896.35,10018.5,10107.4,9895.77,9857.68,9829.88,9702.0,10026.9,10084.4,9787.0,9813.25,10029.0,9551.39,10476.7,10026.1,10085.7,10467.4,10069.2,9950.86,9753.84,9960.53,9972.13,10078.1,10108.9,10096.3,10302.8,9680.48,10152.4,9853.52,10197.2,9884.06,10264.2,10179.3,9658.08,10229.6,10068.1,10079.5,10037.1,10059.0,9796.22,10395.5,9960.41,10044.6,9863.39,9857.14,10457.7,10069.1,10238.9,9554.58,10021.8,9915.51,10077.6,10016.5,10172.6,9799.92,10250.2,10240.3,9843.67,10087.6,10223.3,9825.86,9824.21,10128.6,10040.9,10405.4,9957.42,10512.7,9791.55,9995.0,10026.3,10131.5,10171.0,10024.4,10233.1,10113.9,10212.8,10224.7,9906.69,9980.99,10109.9,10023.3,10183.6,10006.7,10459.6,9766.58,9844.59,9950.3,10123.8,9812.39,10061.0,9839.75,10155.9,10019.1
47000,9763.37,10093.1,10171.4,10100.0,9876.96,10465.0,9611.48,9869.78,10046.1,10123.0,9898.76,9862.3,9826.98,9672.68,10032.3,10107.1,9770.92,9839.51,10000.5,9546.23,10455.1,9997.73,10069.5,10552.3,10050.7,9952.62,9771.42,9975.59,9923.87,10093.1,10165.5,10105.1,10281.1,9615.16,10190.7,9822.28,10206.3,9913.27,10279.6,10195.3,9691.9,10201.4,10092.4,10101.1,10020.3,10053.1,9823.29,10356.3,9942.52,10051.9,9850.88,9847.05,10461.1,10053.0,10273.8,9584.89,9993.99,9908.87,10067.1,10027.0,10169.4,9756.34,10273.7,10223.0,9857.24,10117.3,10198.7,9807.18,9811.94,10099.8,10017.0,10407.4,9924.2,10523.4,9804.28,9997.2,10024.8,10145.8,10184.5,10019.7,10237.7,10107.4,10112.1,10194.2,9884.25,9973.26,10119.1,10026.3,10196.0,9976.04,10452.6,9743.34,9875.67,9974.11,10081.9,9787.28,10060.7,9872.04,10074.1,10039.4
48000,9723.15,10113.1,10150.2,10079.6,9846.34,10366.6,9593.34,9788.26,10044.8,10160.7,9932.51,9901.31,9902.24,9588.8,10023.2,10080.2,9732.33,9765.71,9994.46,9531.83,10425.9,10014.4,10082.4,10573.5,10051.2,9965.32,9780.98,9871.02,9901.47,10064.5,10154.7,10131.5,10259.0,9662.99,10191.8,9811.9,10207.9,9935.34,10298.4,10228.8,9670.08,10233.3,10097.7,10095.0,10005.6,10085.7,9822.1,10301.5,9913.33,10041.6,9818.45,9857.2,10434.6,10029.2,10315.5,9573.03,10032.8,9893.82,10065.0,10060.3,10180.7,9775.17,10290.3,10238.3,9884.64,10130.0,10224.2,9825.62,9796.08,10134.6,10049.1,10436.9,9960.22,10488.7,9835.86,10041.3,10033.6,10126.4,10224.3,10039.1,10238.6,10117.3,10093.7,10154.7,9895.23,9981.41,10110.3,10008.8,10225.5,9963.71,10461.6,9704.56,9887.48,9945.56,10092.0,9803.55,10067.0,9875.74,10066.2,10036.6
49000,9738.79,10074.0,10155.6,10070.1,9847.71,10383.3,9567.43,9808.59,9989.28,10169.1,9918.13,9900.54,9940.99,9621.55,10056.1,10037.0,9722.57,9737.07,10019.8,9578.73,10438.0,9990.1,10058.3,10540.3,10056.2,9973.82,9740.7,9811.06,9885.46,10047.3,10127.6,10145.9,10232.7,9695.52,10218.3,9837.22,10217.8,9949.15,10294.5,10219.5,9668.43,10225.2,10123.9,10088.2,9984.8,10062.6,9814.22,10280.8,9897.41,10074.6,9808.01,9842.33,10462.0,10041.9,10351.0,9586.22,10019.9,9883.82,10094.8,9937.21,10194.8,9769.82,10305.5,10266.9,9894.95,10088.9,10295.9,9850.75,9757.02,10099.1,10060.4,10380.3,9975.85,10495.1,9833.21,10053.5,10040.6,10148.8,10279.5,9996.89,10220.7,10107.4,10109.6,10135.8,9917.22,9949.79,10171.5,10008.9,10275.7,9963.77,10395.2,9701.22,9876.83,9903.59,10122.0,9749.9,10065.2,9952.9,10066.5,10036.0
50000,9768.05,10140.0,10149.5,10065.3,9842.54,10408.3,9553.52,9778.16,9986.09,10189.9,9879.49,9891.95,9907.62,9642.38,10058.9,10000.7,9710.28,9748.05,10025.1,9635.87,10391.9,9937.65,10069.6,10569.7,10006.6,9953.81,9768.33,9781.31,9863.11,10031.9,10179.8,10167.2,10243.0,9645.17,10214.6,9850.83,10243.0,9961.69,10244.1,10200.7,9725.08,10215.1,10115.0,10107.7,10011.0,10032.2,9854.3,10263.4,9910.04,10096.8,9801.91,9873.35,10523.0,10053.7,10325.2,9555.42,10051.2,9898.34,10079.4,9903.98,10188.9,9776.78,10323.4,10239.0,9881.23,10119.7,10216.0,9757.07,9796.61,10190.0,10036.2,10383.8,9983.45,10477.5,9784.52,10150.2,10050.6,10171.5,10294.0,9993.54,10248.5,10131.8,10063.4,10104.6,9905.91,9971.59,10185.0,10013.6,10249.0,9929.9,10443.7,9706.25,9829.07,9847.33,10117.0,9757.05,10077.7,9958.79,10120.4,10036.4
