Generation,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100
16000,10017.6,10141.0,9955.78,9844.73,9992.07,9973.76,9928.1,9846.55,10077.2,10241.2,10072.7,10047.1,10024.6,9988.23,9934.77,9913.93,10009.2,9956.79,9947.33,9908.34,10242.5,9886.76,9992.73,10211.8,10038.1,10145.5,10036.1,9881.03,9983.78,9977.66,10033.1,10045.7,10333.0,9780.24,9999.78,10029.2,9935.63,10157.4,10094.7,10197.2,10112.1,10042.4,9853.34,9990.6,10121.1,9864.46,9895.09,10192.0,10028.8,10207.0,9982.26,9903.87,10107.3,9912.45,10108.7,9799.61,10011.2,10042.0,10045.2,10015.1,9973.52,10003.1,10011.0,10194.7,9908.17,10085.9,10273.9,10018.2,9845.46,10060.1,9989.92,10035.9,10022.8,10257.0,9895.18,10059.8,10164.9,10022.0,10083.9,10180.0,9926.92,9982.58,10008.1,9953.03,10082.6,9918.32,10176.1,9987.14,9914.35,9933.23,10148.6,9936.79,10079.4,9865.81,10012.1,9930.22,10022.0,9872.33,10131.7,9959.95
17000,9995.73,10129.1,9990.2,9877.88,9977.53,9922.63,9843.96,9838.12,10075.1,10226.4,10057.5,10021.6,10016.8,9916.87,9915.57,9942.22,9993.97,9984.84,9983.58,9929.7,10374.7,9886.8,9990.09,10258.6,10065.7,10076.0,10041.0,9863.03,9972.11,9971.51,10043.1,10064.7,10326.3,9796.81,10001.7,9892.1,9909.7,10170.0,10057.0,10162.9,10076.5,10070.9,9828.33,10026.2,10141.2,9792.35,9885.41,10242.2,10034.9,10183.8,9980.77,9937.56,10105.3,9943.28,10162.3,9812.7,10034.0,10017.1,10035.8,10020.7,9992.1,9941.35,10025.3,10185.2,9926.92,10096.6,10310.8,10006.4,9893.08,10005.7,9945.37,10035.4,10036.6,10290.0,9856.37,10100.3,10146.6,10020.6,10038.2,10146.3,9972.38,9927.02,10019.3,9951.27,10074.3,9879.56,10195.0,10028.9,9899.64,9911.76,10138.2,9979.5,10087.0,9841.81,9986.41,9987.03,10021.4,9897.16,10137.9,10014.5
18000,9946.2,10088.3,9979.23,9882.96,9956.08,9961.34,9848.38,9835.84,10061.4,10220.7,9982.26,9996.36,10041.8,9924.5,9926.17,9977.78,10027.2,9987.05,10026.8,9909.28,10329.0,9925.63,10020.4,10295.9,10050.5,10031.2,10045.7,9864.16,9946.62,9970.85,10015.6,10045.9,10264.2,9782.84,10013.1,9926.87,9905.15,10157.5,10036.2,10173.3,10086.5,10020.1,9796.17,10062.7,10171.3,9819.09,9844.05,10267.6,10055.8,10112.7,9965.11,9929.0,10125.4,9928.77,10196.9,9894.6,10033.7,10019.4,10041.5,10035.6,9995.8,9917.93,10070.5,10185.4,9938.95,10105.4,10350.7,10004.2,9906.83,9977.14,9971.85,9991.46,10014.6,10335.8,9772.1,10053.1,10154.8,9994.02,10073.6,10185.3,9988.43,9945.23,9993.67,9958.5,10085.0,9920.88,10190.0,10061.3,9874.38,9862.45,10156.2,10025.4,10064.1,9822.76,10002.5,9977.21,10038.2,9902.86,10136.5,10007.5
19000,9948.51,10103.0,9963.69,9904.7,9935.2,9980.92,9791.51,9825.51,10074.6,10238.7,10008.3,9983.05,10062.2,9920.65,9924.49,9999.27,10048.8,9963.39,10021.0,9904.89,10393.5,9975.38,10003.7,10289.8,10102.3,10018.6,10059.4,9853.26,9955.59,9969.98,9997.57,10057.8,10319.4,9805.6,9988.7,9917.3,9915.41,10180.7,10062.0,10171.8,10107.6,10077.0,9807.0,10071.9,10147.8,9811.93,9781.56,10274.0,10072.9,10073.2,9976.03,9908.66,10138.8,9934.94,10187.3,9887.35,9979.38,10034.3,10054.5,10101.5,9977.84,9921.96,10057.5,10264.2,9960.17,10032.2,10351.7,9992.12,9912.6,10013.1,9936.13,10032.3,9993.27,10217.9,9763.41,10040.4,10132.4,9957.67,10115.6,10149.1,10006.0,10009.6,9982.95,9999.97,10069.6,9932.29,10172.5,10038.7,9906.85,9920.6,10152.7,9960.46,10060.8,9796.13,10038.9,9966.33,10064.6,9957.46,10134.2,9967.11
20000,9971.81,10121.1,9961.0,9944.45,9893.76,10035.1,9809.98,9817.27,10092.6,10190.7,9948.45,9952.77,10107.6,9860.11,9921.7,10021.7,10053.8,9973.5,10067.4,9883.23,10378.8,9976.42,9959.8,10252.2,10075.6,10028.4,10047.0,9856.77,9948.44,9980.17,9993.6,10064.6,10362.8,9836.67,10002.3,9938.99,9925.72,10085.5,10027.3,10149.8,10065.7,10063.9,9829.37,10088.0,10158.6,9829.96,9797.71,10293.4,10046.0,10088.8,9925.25,9882.51,10135.8,9941.03,10210.1,9835.37,9910.07,10019.3,10076.9,10097.1,10019.4,9908.84,10056.9,10260.2,10004.0,10064.2,10382.1,9998.88,9891.2,10039.6,9948.83,10060.8,10007.2,10317.8,9753.3,10043.8,10072.3,9919.68,10109.2,10140.9,10009.9,10050.0,10015.5,10002.2,10066.4,9877.7,10164.0,10045.9,9948.66,9926.4,10144.9,10015.1,10005.6,9810.78,10031.3,9954.57,10026.4,9983.08,10120.8,9988.39
21000,9928.91,10197.1,9955.85,9956.23,9884.18,10004.5,9787.25,9831.95,10068.1,10210.6,9986.5,9972.29,10067.7,9890.95,9928.98,10062.8,10027.1,10031.4,10067.2,9887.45,10396.5,10002.9,9985.6,10276.2,10055.7,10073.5,10041.0,9851.83,9931.25,9982.01,9999.24,10074.2,10367.7,9773.32,9953.24,9974.09,9932.92,10087.7,9990.63,10116.0,10040.4,10063.4,9849.46,10118.1,10147.4,9828.39,9778.79,10324.8,10035.1,10063.1,9897.48,9890.01,10206.0,9975.7,10192.4,9887.24,9943.26,10019.2,10065.3,10076.5,10023.4,9870.17,10061.1,10260.1,10005.1,10056.5,10384.7,10052.8,9877.36,9999.96,9956.94,10073.8,10008.5,10310.9,9715.73,9982.07,10033.3,9868.86,10093.7,10146.0,10015.2,10043.5,10066.0,10045.5,10021.0,9865.21,10131.0,10038.3,9906.37,9932.01,10111.9,9901.94,9930.14,9804.62,10026.6,9925.37,10079.9,9941.98,10165.1,9989.01
22000,10000.7,10205.5,9951.52,9996.16,9845.31,9971.48,9761.12,9820.01,10068.3,10219.8,10005.2,9953.7,10049.6,9893.72,9951.45,10082.5,10040.1,10043.1,10060.0,9837.75,10401.4,10020.0,9985.01,10266.5,10058.2,10073.7,10007.0,9867.34,9922.9,9993.76,10033.6,10087.9,10370.4,9786.19,9971.29,9934.29,9927.37,10094.3,10023.6,10101.3,10033.1,10048.4,9892.35,10093.3,10129.0,9816.2,9737.98,10310.2,10006.2,10092.1,9889.69,9898.68,10193.9,9988.08,10223.7,9841.64,9970.81,10017.7,10067.0,10069.6,10052.4,9925.17,10060.8,10212.6,9967.26,10047.7,10417.3,9989.26,9911.13,9962.75,9983.86,10075.0,9995.45,10319.9,9729.23,9959.16,10026.0,9877.28,10103.8,10154.1,10025.6,10054.0,10082.0,10108.4,9975.01,9845.17,10119.8,10045.1,9871.36,9891.63,10080.5,9853.31,9904.9,9797.38,10041.8,9908.56,10106.7,9919.89,10207.9,9994.41
23000,10023.3,10147.6,9966.4,9971.76,9838.97,9973.32,9683.4,9806.63,10057.6,10203.1,9976.85,9972.07,10051.3,9900.85,9913.65,10078.6,10014.3,10022.2,10047.7,9788.25,10374.7,10034.6,10015.1,10281.6,10029.2,10091.3,9915.44,9839.78,9937.06,9944.93,10003.9,10037.0,10372.2,9769.04,9957.27,9931.04,9975.17,10097.7,10044.2,10095.8,10015.1,10052.7,9885.68,10124.2,10083.1,9854.81,9716.23,10303.1,10086.8,10090.5,9906.9,9921.65,10201.1,9982.3,10249.4,9810.33,10036.9,10015.3,10072.8,10056.4,10077.9,9911.38,10097.0,10236.3,9973.09,10043.0,10472.6,9998.03,9909.46,9993.95,9974.09,10079.3,9979.03,10346.9,9749.64,9954.39,9999.61,9866.88,10070.8,10153.5,10034.3,10070.7,10055.4,10102.5,10012.5,9847.24,10131.8,10070.5,9849.09,9934.61,10136.7,9828.52,9862.8,9827.44,10035.0,9901.95,10105.1,9874.63,10211.9,10055.3
24000,10025.6,10176.2,10010.2,9988.63,9847.29,9995.69,9691.85,9818.17,10031.8,10166.1,9957.34,9976.69,10042.0,9902.29,9919.63,10059.2,10055.3,9994.94,10026.1,9748.34,10331.6,10039.5,10043.0,10329.2,10011.9,10090.7,9892.49,9819.21,9933.77,9986.79,9938.47,10031.9,10385.6,9774.11,9949.73,9914.55,9991.75,10080.9,10048.9,10079.0,10014.9,9996.26,9881.58,10163.5,10096.9,9849.89,9650.23,10338.3,10053.2,10105.0,9921.12,9886.22,10150.6,9980.12,10254.4,9833.2,10012.9,10006.1,10111.4,9978.52,10055.1,9878.02,10105.9,10265.8,10025.5,9986.53,10515.0,9979.25,9910.05,10003.4,9968.99,10159.8,10046.0,10338.8,9691.07,9993.11,10081.1,9847.23,10074.5,10168.1,10067.2,10056.8,10089.8,10117.9,10018.0,9851.92,10166.5,10074.4,9908.26,9927.8,10196.1,9831.21,9880.12,9816.71,10053.1,9949.44,10138.2,9899.17,10203.2,10081.5
25000,10009.7,10163.6,10022.6,9978.79,9825.27,10031.7,9752.81,9808.49,9999.29,10150.2,9975.3,9970.13,10034.3,9907.54,9912.62,10068.4,10026.7,9998.39,10024.9,9735.42,10335.5,10031.6,10016.4,10383.9,10022.3,10056.1,9896.43,9827.02,9975.93,9966.55,10002.9,10053.0,10377.7,9764.71,9980.29,9907.58,10015.8,10059.2,10048.5,10087.8,9970.73,10024.1,9905.05,10202.6,10094.0,9864.34,9621.17,10324.8,10051.8,10108.3,9881.27,9906.09,10154.1,9979.55,10292.0,9869.8,9987.41,10013.0,10072.6,9983.72,10063.6,9881.93,10127.3,10283.1,9998.93,10006.3,10527.8,10005.3,9947.36,10032.0,9976.52,10201.1,10053.1,10322.9,9677.55,9994.28,10073.7,9842.94,10062.1,10163.7,10006.5,10059.4,10088.9,10207.8,10088.9,9867.43,10137.8,10010.3,9946.39,9907.67,10242.0,9830.3,9865.15,9832.74,10040.3,9940.28,10171.5,9882.33,10229.6,10067.9
