Generation,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100,pop
15000,2019.36,1968.09,1994.81,1951.63,2034.21,1928.27,1973.4,1989.23,1995.1,2051.45,1944.8,1968.18,2027.48,1984.95,2022.56,2023.44,2018.72,1978.7,2001.84,1972.14,2025.13,1978.17,1989.53,1948.62,1966.29,1966.83,1985.82,1952.31,1957.14,2006.56,1976.51,891.8639999999999,1979.82,2000.33,1991.68,1948.21,1948.7,1992.56,1995.53,2009.28,1986.96,1973.85,1986.73,1966.74,1949.05,1950.44,1992.42,2008.37,1985.83,1977.13,1992.78,1928.2,1948.29,2026.64,2005.24,1967.12,1963.31,1982.26,2031.1,1996.58,1956.21,1970.36,1971.05,1997.35,2022.59,1969.2,1996.1,2001.92,1973.35,1945.47,1963.71,1960.71,2038.99,1998.15,2002.52,1979.46,1946.29,1977.18,1988.66,1952.84,2007.86,1980.04,2004.55,1980.43,2008.69,1961.59,1982.12,1913.74,2001.24,1985.3,2007.12,1981.98,1999.77,1973.45,2018.86,1965.32,1986.11,1975.75,1947.03,2014.2,1.0
16000,1537.22,1506.37,1526.75,1481.95,1546.22,1493.47,1464.19,1495.57,1499.68,1544.91,1448.56,1473.48,1540.47,1498.77,1549.16,1536.08,1542.89,1501.31,1520.44,1499.37,1536.19,1525.9,1540.26,1491.55,1482.58,1469.55,1525.04,1450.84,1477.78,1552.19,1512.33,558.0319999999999,1484.63,1525.91,1507.07,1466.89,1467.42,1517.91,1511.18,1537.94,1523.02,1478.96,1512.61,1498.37,1464.17,1475.09,1517.27,1538.53,1533.15,1525.12,1519.86,1449.53,1469.42,1547.95,1530.23,1506.91,1492.1,1506.4,1553.16,1516.04,1490.07,1486.61,1495.27,1509.28,1529.11,1483.56,1531.23,1485.21,1501.18,1458.19,1483.49,1480.44,1574.7,1513.1,1519.85,1522.11,1481.8,1498.81,1526.17,1472.94,1531.21,1537.05,1513.96,1494.93,1522.62,1483.64,1532.11,1441.89,1523.78,1538.13,1514.8,1501.73,1521.29,1503.39,1544.71,1466.35,1514.57,1498.44,1491.52,1529.22,1.0
17000,1126.85,1091.25,1114.75,1081.78,1140.85,1066.02,1058.79,1079.33,1078.09,1111.99,1010.39,1037.56,1120.05,1081.79,1125.03,1106.03,1103.06,1082.31,1102.86,1091.31,1103.76,1113.72,1104.11,1054.85,1078.14,1054.35,1085.83,1022.48,1061.6,1115.54,1076.44,326.639,1064.63,1093.19,1098.99,1036.41,1060.18,1100.59,1079.28,1106.33,1075.6,1058.59,1095.87,1056.93,1050.06,1063.97,1086.43,1101.29,1096.55,1107.03,1091.82,1030.58,1050.49,1113.9,1105.72,1073.33,1078.67,1087.88,1124.64,1081.13,1069.45,1064.8,1084.66,1095.02,1102.07,1085.77,1102.41,1070.6,1074.44,1034.62,1062.03,1064.24,1147.4,1087.02,1104.29,1074.66,1054.11,1090.89,1115.88,1059.75,1082.98,1117.65,1090.72,1077.95,1103.59,1085.57,1112.98,1007.85,1111.99,1117.74,1106.05,1083.08,1110.33,1075.02,1135.02,1044.66,1110.8,1091.09,1056.81,1110.66,1.0
18000,739.378,728.613,752.4060000000001,731.0880000000001,773.03,730.5319999999999,713.451,725.673,735.242,760.7130000000001,684.329,687.9680000000001,775.8839999999999,733.5060000000001,775.0319999999999,747.181,758.6189999999999,738.2439999999999,738.6139999999999,761.1360000000001,749.211,757.727,777.6139999999999,707.566,720.4730000000001,698.773,739.707,672.438,732.173,753.2410000000001,744.455,208.858,714.0239999999999,739.704,758.215,704.715,714.82,765.711,730.828,763.5980000000001,730.198,715.875,744.9110000000001,712.562,712.922,710.313,737.7080000000001,749.8969999999999,740.1560000000001,752.4630000000001,744.44,689.198,699.89,767.628,762.56,715.7410000000001,723.03,720.29,749.533,743.1419999999999,731.2539999999999,717.81,736.27,740.2739999999999,759.313,722.4639999999999,762.301,715.306,722.703,704.182,706.966,704.0160000000001,786.189,739.908,769.085,726.9830000000001,696.5189999999999,743.762,766.215,693.061,734.212,764.457,730.684,738.9010000000001,765.8430000000001,741.5210000000001,773.824,683.2410000000001,737.2230000000001,725.6439999999999,750.045,734.872,747.7,734.8889999999999,778.005,694.49,750.91,718.2080000000001,718.6360000000001,752.477,1.0
19000,466.76300000000003,468.042,482.38800000000003,458.85400000000004,495.103,449.491,452.525,450.00300000000004,467.707,492.329,424.469,408.616,498.159,470.676,504.465,463.592,483.218,455.691,476.29400000000004,483.0,480.51800000000003,496.44300000000004,496.61699999999996,443.095,458.87699999999995,429.61800000000005,479.716,424.035,465.05300000000005,476.515,479.94699999999995,142.986,442.394,465.921,479.028,432.528,449.476,484.569,473.269,488.80300000000005,448.94599999999997,455.108,465.996,440.32300000000004,469.781,453.82599999999996,469.259,476.07800000000003,468.01,472.29900000000004,477.05,437.13199999999995,446.29900000000004,501.782,480.404,455.155,461.273,445.287,480.779,470.598,467.03,442.251,468.086,467.501,492.07199999999995,443.52,487.23800000000006,449.292,449.12800000000004,438.602,447.369,439.04,515.967,485.718,497.094,469.837,446.51800000000003,462.42900000000003,492.765,438.82099999999997,435.265,489.461,460.912,467.825,488.94,462.06800000000004,494.024,428.93300000000005,458.167,466.534,466.31699999999995,463.764,476.85,471.43,496.654,415.912,474.902,465.165,440.055,477.30800000000005,1.0
20000,289.37,282.434,286.008,279.08099999999996,296.972,267.992,266.721,268.817,285.45599999999996,287.45599999999996,249.799,233.521,308.788,291.865,301.665,266.481,290.079,271.53,286.095,285.689,303.211,302.858,305.49,265.945,273.05,267.342,275.18,244.919,276.574,282.126,284.53700000000003,110.29799999999999,274.20799999999997,288.409,296.123,267.375,270.52099999999996,287.098,279.124,290.943,269.25,270.85900000000004,280.219,260.931,283.524,278.553,288.541,293.481,287.9,267.014,284.19599999999997,244.139,283.928,310.371,301.055,272.188,271.875,258.436,295.988,286.007,276.506,268.48,275.78700000000003,283.633,291.647,269.635,295.921,260.606,272.944,267.691,264.244,267.80400000000003,299.67400000000004,302.608,309.112,284.478,271.965,277.926,290.51099999999997,255.264,262.20599999999996,288.94,276.48400000000004,283.969,300.693,268.48900000000003,293.42,254.968,267.469,281.572,284.192,281.468,282.95599999999996,281.121,286.432,250.937,281.241,275.686,273.099,280.702,1.0
21000,161.115,162.386,163.405,168.678,180.39700000000002,163.08100000000002,152.982,156.27700000000002,161.809,169.25400000000002,150.273,144.026,185.287,172.142,174.641,148.996,170.037,157.291,179.25900000000001,159.061,172.726,179.55200000000002,179.78099999999998,160.436,162.576,162.23,161.308,144.29,166.32,171.31799999999998,161.945,97.5126,162.209,169.98,178.77200000000002,156.588,165.88299999999998,174.578,163.91400000000002,162.844,158.881,153.805,168.775,155.297,164.738,157.983,172.28799999999998,171.245,177.41400000000002,145.806,162.711,149.297,164.575,180.62900000000002,169.483,160.761,164.213,144.571,180.262,163.3,163.71200000000002,161.683,152.363,164.305,170.312,164.582,173.46200000000002,155.363,155.447,164.197,159.141,159.764,171.45,187.342,180.80200000000002,167.95,161.06799999999998,163.069,172.002,159.338,155.11700000000002,169.605,160.136,159.372,179.452,154.421,173.127,146.783,161.094,164.928,163.938,169.56900000000002,169.18200000000002,162.438,166.02700000000002,153.349,156.953,158.507,158.916,162.33100000000002,1.0
22000,96.6765,103.391,99.0777,109.41799999999999,115.539,101.434,100.359,101.757,102.285,103.227,95.6378,93.0795,106.634,109.445,104.76299999999999,95.2242,106.461,95.6453,112.045,97.9955,108.412,116.32799999999999,110.804,105.177,105.12899999999999,108.101,98.3625,91.1588,104.919,106.579,99.2831,90.5452,101.666,108.59700000000001,102.37299999999999,99.6512,106.118,105.834,104.53399999999999,102.734,92.4244,98.4514,102.50299999999999,100.561,103.76700000000001,102.095,110.851,100.883,107.31299999999999,87.2412,97.2572,92.0898,105.382,109.822,107.32600000000001,93.795,102.139,89.7881,112.13600000000001,100.99600000000001,101.772,97.9343,99.0584,102.52799999999999,105.264,102.205,107.66,99.212,101.88,101.87200000000001,98.5076,97.0079,105.22,117.044,115.23100000000001,107.124,100.086,100.052,104.03200000000001,100.213,97.9053,107.696,100.911,104.49799999999999,111.833,99.1727,103.29899999999999,90.8378,99.6647,102.385,100.389,109.648,99.2687,101.381,107.649,99.7925,94.5531,98.8673,98.5224,100.64399999999999,1.0
23000,71.9853,75.1258,70.915,73.6757,77.9726,75.5391,74.0226,70.3417,72.9759,70.4981,68.2894,69.8623,73.7774,75.2808,75.9649,70.082,75.7434,68.9256,80.4739,68.6983,76.4431,81.3336,78.7553,69.0889,77.2201,78.682,73.2337,69.6947,74.5848,72.8325,70.9258,92.1512,72.7978,76.315,73.0781,72.9166,77.9235,76.8182,73.9193,70.2679,70.0889,72.0161,76.7013,71.4264,73.1609,72.3161,76.5881,76.0928,74.6471,66.0221,71.1171,68.9452,76.5474,78.077,78.0228,67.509,72.58,67.2659,78.3096,73.0789,72.7794,70.7554,73.7238,76.038,73.3286,74.9413,72.5235,77.6067,73.6924,73.7298,74.8553,74.0216,74.8653,84.8875,74.8511,75.4047,71.8378,73.656,70.4353,75.1263,68.9516,79.1123,73.8522,74.1212,77.5289,69.0345,73.7124,66.7708,72.1456,75.2855,72.6214,78.3549,74.8665,74.1867,72.2771,68.1772,70.5521,71.2272,67.0109,72.3362,1.0
24000,61.8757,60.4175,60.6615,60.4169,61.8289,63.6474,63.0691,60.3961,63.4155,60.5674,60.9306,61.111000000000004,59.5233,60.8088,62.6168,61.2918,59.2172,58.9043,64.8432,61.748999999999995,62.9897,65.0963,64.5475,58.132,61.2449,65.9495,61.7279,59.0349,64.7223,61.2303,60.2717,91.3589,60.8619,62.8837,61.008,61.2183,63.9958,64.3909,61.6788,61.7064,58.3208,60.8488,60.768,63.0787,62.2,61.5579,63.5304,63.3235,63.0496,58.8416,61.3766,60.1795,61.1406,63.6152,63.4845,58.5376,59.3638,60.5479,64.7005,61.9531,59.3711,61.4926,64.2566,63.7738,62.4075,62.6731,62.4353,62.2479,61.8015,61.5664,60.5169,61.3594,60.9687,66.027,61.486000000000004,65.7887,61.4668,62.3604,60.1441,60.4894,60.8693,64.8472,61.3692,63.1398,62.8572,59.4818,60.0348,58.2825,59.4145,60.5421,63.3115,64.3404,61.9877,59.4719,61.7675,58.5853,60.1283,61.5601,61.5235,61.7372,1.0
