Generation,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100,pop
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,.05
4000,5842.02,5684.57,5681.56,5851.57,5634.14,5691.39,5795.38,5665.52,5748.09,5739.97,5720.99,5722.06,5656.27,5594.79,5740.47,5753.51,5690.62,5773.57,5632.85,5668.23,5607.16,5842.45,5787.56,5644.55,5823.16,5685.54,5817.02,5809.87,5652.71,5704.94,5733.44,5847.67,5837.87,5775.19,5766.64,5721.0,5737.19,5658.3,5823.13,5728.1,5642.27,5729.16,5716.6,5658.73,5718.35,5725.31,5771.74,5653.06,5609.53,5637.19,5659.57,5638.61,5758.68,5786.74,5646.26,5727.28,5784.78,5684.53,5741.73,5690.49,5799.68,5743.91,5631.33,5728.95,5710.06,5674.64,5811.46,5658.51,5621.02,5732.62,5780.44,5645.82,5807.2,5591.24,5849.98,5830.81,5773.79,5789.61,5643.81,5714.39,5754.9,5694.44,5656.66,5773.89,5634.21,5711.81,5784.01,5687.61,5715.91,5852.89,5723.59,5803.79,5749.29,5759.23,5752.67,5737.07,5611.09,5776.33,5717.76,5648.24,.05
8000,3130.61,2753.74,2711.6,2836.95,2632.17,2761.91,2771.83,2737.36,2680.9,3203.2,2674.49,2791.3,2726.61,2613.84,2886.21,2788.54,2776.19,2839.74,2727.76,2735.42,2702.15,2885.54,2865.05,2643.9,2842.74,2643.22,3239.34,2887.94,2739.11,2712.08,2854.01,2911.29,3236.65,2835.51,2722.57,2767.84,2756.18,2761.19,2854.6,2698.07,2710.28,2706.39,2847.9,2669.86,2767.31,2770.04,2792.32,2708.08,2747.75,2733.21,2713.35,2758.87,2670.73,2802.23,2622.55,2758.89,2799.79,2741.8,2802.24,2750.29,2818.78,2821.69,2666.36,2764.56,2788.97,2708.22,2797.64,2714.73,2760.4,2812.82,2782.91,2649.18,2935.69,2699.75,2941.31,2779.84,2713.31,2882.07,2673.7,2783.12,2670.71,2693.02,2676.87,2788.17,2901.38,2841.61,3195.68,2807.43,3224.17,2950.17,2803.34,2917.33,2743.29,2794.71,2877.9,2867.47,2688.0,2851.3,2768.95,2701.58,.05
12000,795.5419999999999,778.029,757.1469999999999,799.7739999999999,697.4910000000001,759.533,782.857,789.587,677.3810000000001,788.885,629.311,815.9760000000001,737.005,594.59,699.7539999999999,723.574,749.7760000000001,781.748,811.8739999999999,764.7769999999999,726.198,851.717,785.818,662.2230000000001,737.8560000000001,644.293,836.823,711.283,794.448,747.678,823.1239999999999,736.58,824.065,764.4069999999999,746.7610000000001,750.721,684.715,685.804,818.4680000000001,584.11,764.5160000000001,744.985,706.668,698.831,713.4019999999999,773.084,739.867,728.487,713.182,716.947,756.832,805.7410000000001,702.502,695.29,711.592,753.187,798.24,808.664,702.347,770.064,735.2539999999999,704.21,682.404,826.6060000000001,713.545,703.3860000000001,710.393,793.8389999999999,806.2819999999999,828.5089999999999,773.047,708.967,753.29,711.52,799.7280000000001,761.243,724.99,719.1060000000001,658.945,809.168,690.513,752.6360000000001,666.922,819.552,766.97,704.2860000000001,797.8739999999999,685.883,860.306,839.623,803.997,798.0,794.44,728.372,785.939,830.423,699.85,846.623,848.693,763.9730000000001,.05
16000,52.3016,48.8095,55.0546,46.5847,50.7534,50.6917,46.5995,50.9381,51.8397,52.8795,47.424,57.1304,53.6903,50.2212,51.6306,49.8816,49.458999999999996,63.8843,51.6673,55.1202,42.3559,49.2359,46.585,64.757,45.9538,49.5907,62.5487,49.2782,58.4193,41.7505,49.6674,52.7534,58.0661,56.0093,52.68899999999999,73.0547,49.9804,52.0209,49.0433,51.7238,60.9695,53.3681,46.3569,45.0811,52.3674,39.6825,58.883,57.5964,45.0818,47.015,45.4995,51.5142,53.8273,47.9494,53.3454,52.3628,50.4324,58.8644,54.9885,53.5455,54.3063,48.2686,52.2345,53.7119,48.4127,51.5908,46.1819,39.4024,77.5817,56.1195,46.0567,47.2423,45.5153,50.4701,53.8641,45.0521,53.7476,49.0138,52.105,49.1007,52.8221,51.7472,49.6841,46.1285,49.2781,51.3132,50.6412,41.6297,52.9348,56.1097,55.8336,52.4527,62.4988,50.7512,44.678999999999995,44.6241,49.1035,53.8448,47.1254,53.123999999999995,.05
20000,47.2729,49.6734,52.478,51.1812,56.7886,50.1298,47.7445,49.0575,45.5341,49.7146,52.2352,46.4891,56.19,49.3166,55.6896,52.4732,41.4536,48.048,45.2989,53.0407,49.5329,46.4143,52.5989,49.7347,49.883,54.5126,49.1179,53.6002,47.597,50.8851,47.2435,45.4187,50.0105,48.5729,47.0266,48.4962,50.5549,44.1895,52.0574,58.3424,50.1329,51.8591,49.2682,47.7327,51.445,51.0151,48.7658,50.3214,50.3325,48.4595,50.5067,52.4827,48.5564,47.3782,48.9901,51.5094,48.5947,49.9181,43.676,48.9198,43.9752,51.3892,46.8098,51.4979,49.2974,54.1648,45.47,50.9766,55.2712,44.6453,45.2741,46.0102,47.7499,47.6034,44.0092,49.1908,51.1843,51.5049,52.9578,43.9603,46.6989,51.6805,54.1099,56.3667,50.263000000000005,39.7752,54.0383,56.1167,44.5408,56.7891,52.3331,48.7479,64.0334,41.137,50.6894,46.5111,48.8785,44.7737,47.1406,47.1392,.05
24000,46.8124,45.3729,45.8397,45.2041,48.7731,52.0841,49.5268,47.4908,59.0765,49.7656,55.6452,50.7944,45.8461,43.0636,45.7346,45.6273,47.0168,46.6632,49.6403,50.5366,50.4967,52.2779,53.8149,49.7192,42.881,51.3276,61.0381,48.6065,46.1263,47.1315,49.232,46.6681,55.1721,54.6491,53.0564,53.6253,54.9615,48.2452,48.7624,47.2227,51.2997,51.7432,50.2946,50.6358,50.1166,46.3207,55.1133,53.763000000000005,55.7891,49.5968,47.6774,53.4781,49.2453,40.5695,53.9352,40.4813,51.2287,45.732,49.5682,47.4165,47.1386,54.5398,48.6652,50.6731,49.9357,49.5611,45.8068,44.2403,48.7567,44.6496,41.4608,55.4003,53.0533,46.6262,52.6575,49.772,53.3314,48.7889,51.6543,49.4369,49.2986,49.7937,59.4807,53.8211,52.407,51.0634,56.1999,52.0877,50.708,51.0863,58.1469,49.2463,51.0513,47.8451,41.6148,46.6671,42.3042,51.4903,50.3538,52.1061,.05
28000,40.1242,44.7719,53.4313,51.7641,43.5691,49.9061,50.9191,46.5771,52.0991,50.1775,44.129,48.9922,45.5034,46.4547,53.0433,46.9886,46.3283,42.4933,53.7883,46.5946,47.7568,43.9078,45.8717,55.6591,53.6784,48.7855,53.541000000000004,53.8339,42.0088,48.2889,50.6798,49.2273,50.6651,47.9417,54.1574,45.1104,56.4271,51.7112,49.2093,45.9501,45.8219,49.3187,51.4723,46.9554,54.0745,45.2047,45.5973,50.2592,45.5644,52.8211,41.666000000000004,51.8444,42.5998,45.0116,57.7532,55.873000000000005,49.8531,49.7479,44.667,63.1447,49.3972,46.2285,52.2979,45.8194,47.8789,46.2944,45.7453,49.946999999999996,46.21,48.6966,46.7678,45.2474,45.1735,51.7203,52.6892,45.1018,50.4166,52.9995,45.1695,48.8518,52.4092,52.2664,47.2447,46.8452,50.4831,49.0116,54.6142,55.6951,54.6676,50.0709,53.6715,45.3257,40.5033,43.8312,49.6487,45.3932,53.698,50.4662,54.5,45.7177,.05
32000,49.4239,47.2331,50.8623,50.0968,45.9597,47.9749,50.5298,52.0065,51.2709,53.6988,54.0721,44.4787,55.9241,49.5181,49.5623,52.0296,46.3578,36.2738,45.6421,54.3867,54.0652,56.4311,46.5495,51.9509,49.15,50.5251,48.0942,47.1435,51.119,46.1606,50.8182,49.6915,53.8522,50.1073,45.1486,50.6533,51.8757,41.5609,48.9431,45.7691,47.4333,49.6492,52.3046,53.3174,46.3995,48.5635,48.5224,55.7267,52.643,47.5972,48.8971,53.1958,52.2143,48.4896,54.4209,51.4208,52.7492,58.026,51.6796,52.7696,49.6708,42.9393,54.3856,46.7915,52.5904,45.747,47.6307,48.0419,49.8093,54.1345,49.5021,51.1791,55.5774,50.5695,47.7297,54.6964,47.1809,49.3523,47.2624,49.3008,49.5948,49.6775,52.6775,47.8393,42.5166,49.8825,43.2038,45.5007,52.4239,44.3682,48.2496,51.6819,49.7576,51.9063,52.9261,43.527,55.0523,46.8893,51.0508,47.135,.05
36000,50.4815,43.0873,51.3355,42.7032,46.5162,49.5715,57.4111,42.3331,48.9643,51.0686,52.6714,64.2411,50.0525,50.2391,51.3152,53.4855,50.4604,44.9389,46.5967,50.4515,55.0558,48.0388,55.7181,49.8167,45.2253,52.2657,48.6782,59.898,44.8353,56.2855,52.917,44.9382,53.06399999999999,62.9876,50.2592,44.7402,48.7279,46.5398,48.1066,43.4399,44.6222,48.4651,49.8302,57.0057,53.0167,46.1357,47.4136,48.5563,46.1582,42.8448,48.4376,46.8218,47.0425,55.4461,52.6097,50.5237,41.553999999999995,50.0525,51.1871,52.7291,51.1191,40.3727,46.9437,52.3949,51.0463,51.67,55.4639,42.4974,50.9591,44.8216,50.4981,44.8159,44.2018,51.4138,44.082,47.673,45.078,47.4391,54.1725,51.756,53.0443,52.6245,52.4185,46.0926,58.6952,46.7287,49.5447,42.8066,54.5855,50.5894,52.7285,44.151,60.9238,49.4409,50.2289,55.5843,51.0641,47.7706,52.1111,45.8156,.05
