Generation,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100,pop,gen
0,641,662,644,645,641,656,644,659,648,658,664,641,650,647,654,647,654,653,651,654,652,643,657,651,644,648,637,656,651,646,648,657,645,646,648,643,652,653,656,652,649,638,645,648,656,652,663,660,628,653,655,652,642,650,651,648,647,643,645,641,649,672,656,647,651,658,658,650,654,649,656,646,658,645,649,655,648,646,653,654,651,648,660,652,661,653,640,648,654,652,651,650,647,649,637,660,647,646,633,646,700,0
1,614,602,627,618,613,603,601,592,587,604,591,610,607,600,597,609,594,602,609,615,597,599,588,599,596,607,617,592,606,591,607,600,602,596,595,600,599,598,605,590,618,607,619,582,603,601,614,600,590,607,603,616,603,586,599,594,595,607,595,618,603,589,603,602,612,584,616,617,599,617,631,616,598,597,594,603,609,597,591,596,605,599,602,589,594,586,590,613,596,607,614,589,587,592,597,590,606,604,615,600,700,1000
2,590,604,616,605,594,584,590,599,607,604,601,596,595,597,609,596,611,613,605,597,579,589,634,616,597,594,606,604,593,597,601,582,605,582,609,598,592,603,618,592,611,597,604,610,592,598,586,601,595,610,602,600,601,596,608,605,606,603,607,610,609,604,598,617,596,596,589,609,601,598,602,589,618,586,618,610,606,595,605,597,617,598,602,610,596,610,591,603,590,602,607,599,585,611,594,585,593,576,591,593,700,2000
3,593,601,590,607,597,593,590,618,594,592,614,609,599,597,606,602,595,600,606,587,607,621,593,602,607,600,586,602,585,599,598,609,593,589,592,599,589,608,612,613,598,593,603,614,620,594,600,610,606,608,595,595,605,605,611,597,611,595,602,624,603,624,589,576,613,600,612,618,607,620,611,614,609,586,602,599,620,598,604,610,620,600,615,597,609,606,602,602,602,606,601,616,599,605,597,610,614,609,595,599,700,3000
4,609,617,615,597,618,591,601,612,621,600,598,622,605,614,617,597,603,591,621,612,621,611,603,601,613,613,593,605,604,601,600,635,593,613,620,599,611,603,620,610,602,601,606,607,593,604,598,618,610,613,622,611,597,607,600,603,613,612,599,611,597,612,607,607,620,607,596,614,617,603,591,591,612,603,599,620,597,609,605,585,600,597,614,613,591,599,622,607,621,580,603,617,604,605,614,588,595,611,606,606,700,4000
5,589,592,607,600,617,584,617,601,612,605,602,611,594,601,626,587,613,613,605,589,603,623,613,608,602,604,607,592,611,606,591,600,610,603,613,616,608,593,609,614,596,595,602,605,614,610,617,613,612,605,611,617,603,612,595,615,614,601,608,634,608,594,618,603,595,602,598,611,609,600,597,615,617,610,630,607,617,618,608,604,624,611,607,586,605,603,603,606,616,619,604,614,592,616,606,618,601,606,604,600,700,5000
6,591,584,612,601,616,609,606,604,602,620,620,620,604,604,599,597,603,603,601,607,619,619,616,614,608,617,614,594,616,632,602,615,624,609,593,617,627,618,599,603,615,622,622,612,605,603,626,621,612,595,578,613,610,611,602,607,605,608,608,603,603,586,612,606,615,617,603,614,609,587,607,607,610,605,612,603,610,619,600,619,610,607,596,610,600,622,605,604,607,616,600,610,611,626,606,612,576,622,622,608,700,6000
7,588,598,596,612,592,623,619,606,613,618,624,611,614,593,605,602,607,616,611,616,607,586,609,617,607,609,608,610,608,610,621,619,596,583,626,607,608,594,600,616,618,615,610,618,612,617,595,617,597,611,595,600,605,610,606,586,608,620,610,603,598,615,606,599,612,618,602,607,618,600,602,622,603,615,608,609,614,602,624,587,612,611,602,609,610,609,631,619,612,605,602,599,613,601,606,593,604,621,607,609,700,7000
8,610,609,600,600,606,611,598,612,595,619,609,615,610,595,608,594,595,621,612,604,608,629,593,600,608,616,618,611,617,597,596,610,612,603,585,618,618,605,600,596,594,614,615,597,604,614,596,584,613,604,616,614,585,599,600,616,615,609,603,605,608,602,616,604,608,601,586,593,610,606,601,612,621,605,621,607,606,614,602,618,600,608,611,602,606,592,600,612,607,605,607,619,624,608,599,613,599,594,615,611,700,8000
9,618,609,609,605,583,623,614,612,601,622,610,615,610,616,582,605,592,606,602,610,620,625,611,608,609,593,594,615,624,589,613,598,602,613,618,604,610,630,600,608,599,619,611,614,606,603,613,610,603,614,600,613,625,610,592,600,613,616,611,599,612,624,604,606,598,589,601,604,603,606,626,600,614,607,592,615,611,618,607,605,596,623,607,614,615,597,622,621,628,613,616,606,612,602,592,614,620,593,598,607,700,9000
