Generation,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100,pop
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1000
3000,8312.99,8310.39,8320.66,8319.8,8305.03,8312.6,8313.66,8315.51,8321.04,8310.19,8309.13,8322.55,8309.83,8316.54,8299.45,8318.04,8307.46,8313.98,8300.3,8299.87,8318.62,8321.95,8315.35,8320.45,8304.87,8314.96,8304.57,8325.34,8311.28,8299.48,8303.09,8313.36,8306.89,8308.31,8302.68,8324.3,8297.12,8011.37,8318.38,8318.63,8320.46,8303.94,8308.41,8318.77,8304.49,8313.41,8312.04,8295.9,8306.34,8311.98,8314.3,8316.68,8306.7,8317.12,8289.97,8305.04,8309.47,8303.22,8318.53,8309.98,8300.6,8317.27,8310.2,8320.05,8315.28,8319.57,8302.65,8322.65,8308.59,8322.32,8302.16,8319.75,8312.95,8305.74,8310.15,8311.27,8311.93,8310.12,8305.44,8315.34,8300.42,8316.34,8311.14,8318.24,8304.18,8304.71,8301.42,8313.4,8311.21,8305.14,8321.56,8315.73,8306.69,8305.99,8298.79,8314.65,8321.34,8310.1,8314.48,8304.42,1000
6000,6737.54,6722.61,6755.59,6750.32,6720.19,6724.35,6711.24,6721.84,6723.95,6713.63,6703.98,6744.21,6705.74,6714.13,6722.6,6720.58,6724.85,6714.96,6710.45,6705.88,6716.06,6736.91,6741.66,6739.76,6715.32,6741.13,6724.05,6728.48,6737.64,6725.43,6720.17,6737.52,6717.38,6711.74,6732.26,6744.23,6708.45,6029.41,6733.24,6734.39,6722.03,6714.5,6730.8,6733.36,6721.4,6727.98,6722.67,6707.43,6710.0,6720.55,6733.98,6737.79,6723.9,6723.14,6697.16,6721.78,6715.25,6692.54,6732.22,6734.54,6710.88,6729.97,6728.15,6738.73,6721.29,6724.16,6716.04,6733.63,6718.11,6744.36,6720.22,6729.88,6733.56,6707.51,6729.21,6706.1,6720.52,6724.43,6705.05,6720.94,6714.72,6733.49,6731.94,6739.58,6724.86,6699.01,6714.09,6732.22,6715.19,6705.87,6748.43,6723.26,6713.03,6734.89,6714.74,6732.41,6724.07,6716.04,6730.33,6713.48,1000
9000,5154.55,5134.34,5167.86,5161.04,5128.11,5137.31,5122.65,5124.7,5159.6,5126.37,5124.12,5160.73,5120.99,5124.0,5143.19,5142.78,5133.15,5129.2,5138.85,5122.4,5127.38,5155.23,5158.57,5164.71,5129.55,5158.57,5138.5,5165.88,5169.52,5143.73,5132.23,5153.49,5138.13,5121.34,5118.44,5161.44,5112.29,4025.64,5129.37,5152.19,5132.52,5137.3,5156.81,5162.37,5146.23,5136.1,5118.21,5105.87,5119.94,5154.14,5141.3,5161.8,5145.03,5149.15,5125.99,5130.72,5110.97,5101.24,5139.4,5145.23,5113.62,5137.7,5133.68,5155.54,5148.97,5130.8,5114.98,5137.41,5117.24,5147.54,5135.89,5148.3,5131.97,5123.32,5152.16,5112.76,5120.81,5139.65,5107.53,5153.99,5122.38,5129.78,5039.85,5150.55,5148.77,5093.4,5114.02,5121.18,5125.97,5129.43,5159.83,5139.78,5123.29,5163.81,5126.97,5136.46,5157.48,5130.61,5136.31,5139.98,1000
12000,3535.75,3553.2,3575.43,3570.77,3541.41,3561.77,3548.5,3561.12,3566.95,3541.2,3527.2,3589.94,3530.93,3556.74,3552.97,3548.01,3549.59,3529.89,3563.61,3519.74,3530.29,3560.93,3568.79,3566.92,3562.28,3572.24,3539.83,3574.75,3574.44,3566.84,3536.99,3565.33,3545.52,3546.08,3519.61,3573.33,3508.52,2093.04,3540.41,3575.62,3552.8,3549.63,3560.78,3586.53,3557.8,3551.65,3562.88,3505.14,3524.81,3577.93,3556.0,3569.35,3554.63,3558.49,3547.22,3522.42,3531.6,3515.87,3529.72,3560.71,3535.47,3552.08,3556.14,3570.94,3558.46,3547.5,3549.17,3535.91,3517.35,3580.09,3549.58,3572.91,3547.33,3541.09,3557.98,3531.2,3530.25,3532.76,3525.8,3548.89,3537.9,3545.72,3035.64,3571.28,3565.09,3501.03,3526.57,3552.69,3539.76,3527.68,3576.25,3541.83,3533.68,3574.76,3542.63,3551.78,3571.09,3547.49,3549.25,3540.18,1000
