Generation,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100,pop
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,700
3000,8282.63,8283.21,8293.73,8297.81,8299.09,8289.2,8290.97,8278.96,8284.39,8298.87,8303.21,8289.22,8286.57,8304.04,8278.93,8273.06,8297.17,8298.97,8301.05,8298.13,8283.41,8298.44,8268.67,8312.16,8296.92,8278.41,8293.28,8281.49,8289.29,8311.99,8310.99,8313.09,8272.69,8297.31,8300.94,8294.78,8304.45,8287.67,8310.8,8281.26,8294.34,8286.89,8294.49,8301.18,8300.24,8302.27,8292.07,8303.75,8285.09,8313.31,8315.97,8277.78,8302.59,8288.61,8295.6,8282.39,8304.98,8282.2,8301.15,8297.49,8283.13,8294.97,8299.44,8315.59,8292.62,8292.58,8284.6,8296.81,8286.42,8275.2,8307.63,8293.59,8289.37,8300.24,8301.62,8291.55,8299.04,8291.52,8278.19,8323.52,8299.04,8302.65,8273.71,8297.04,8302.93,8317.75,8300.13,8299.31,8299.43,8303.48,8292.81,8283.09,8286.56,8272.91,8300.95,8288.2,8281.82,8285.47,8303.04,8324.88,700
6000,6664.68,6664.32,6676.22,6636.22,6682.49,6663.19,6649.58,6676.31,6665.94,6662.34,6673.29,6661.04,6666.28,6661.08,6642.05,6629.92,6654.42,6651.14,6673.2,6679.01,6649.44,6682.99,6624.72,6659.38,6675.44,6656.52,6681.03,6662.57,6664.41,6690.22,6644.84,6685.1,6635.04,6677.08,6655.54,6666.27,6665.18,6650.69,6680.52,6647.79,6669.66,6623.47,6681.3,6658.45,6657.45,6693.99,6663.01,6686.68,6667.11,6690.12,6671.01,6640.33,6673.75,6685.08,6677.51,6653.18,6692.33,6662.8,6677.87,6668.46,6644.69,6668.48,6680.16,6688.82,6681.13,6658.18,6662.37,6675.13,6670.48,6653.48,6689.71,6673.41,6650.48,6675.55,6672.34,6652.29,6672.89,6662.27,6632.93,6684.21,6686.0,6671.96,6646.82,6654.9,6677.03,6688.24,6666.42,6687.39,6664.97,6680.66,6659.51,6668.23,6676.23,6657.24,6666.54,6671.19,6631.5,6644.57,6693.92,6681.99,700
9000,5073.53,5056.9,5086.03,5056.9,5104.94,5078.03,5067.82,5076.21,5067.39,5067.84,5087.09,5064.14,5078.27,5082.8,5053.4,5033.68,5069.55,5061.14,5099.52,5093.01,5064.73,5106.9,5047.33,5091.15,5075.62,5069.27,5080.13,5067.14,5067.12,5075.32,5050.57,5087.55,5019.21,5082.05,5060.15,5086.36,5092.47,5053.89,5070.15,5072.83,5075.24,5027.97,5084.86,5071.11,5070.5,5112.41,5081.16,5103.32,5067.69,5106.58,5066.47,5055.31,5092.83,5112.22,5081.65,5056.45,5100.91,5104.61,5084.43,5088.36,5062.38,5058.0,5077.9,5096.22,5088.06,5096.32,5065.0,5077.82,5066.24,5058.78,5083.34,5079.82,5068.33,5086.89,5070.76,5052.64,5089.33,5077.31,5037.32,5083.0,5082.52,5093.35,5056.17,5069.29,5082.62,5083.5,5063.51,5095.82,5063.55,5083.38,5076.19,5059.05,5051.98,5065.14,5073.42,5069.95,5052.62,5062.26,5114.4,5109.16,700
12000,3499.61,3461.41,3495.68,3477.8,3480.72,3505.92,3496.85,3469.48,3481.32,3470.67,3512.55,3484.43,3483.2,3506.03,3472.64,3441.86,3467.95,3473.22,3527.46,3528.75,3485.75,3533.72,3480.97,3488.41,3512.5,3475.43,3498.3,3496.69,3495.74,3506.1,3460.25,3509.59,3432.13,3493.62,3482.15,3474.46,3494.14,3476.83,3484.63,3480.12,3497.09,3432.95,3513.95,3489.92,3464.57,3518.67,3479.31,3517.97,3455.23,3511.13,3498.61,3466.44,3514.22,3525.7,3504.21,3483.85,3511.8,3516.18,3494.49,3499.46,3480.46,3464.52,3492.87,3490.78,3502.89,3504.74,3480.01,3489.61,3467.26,3466.63,3487.78,3483.15,3463.17,3498.16,3507.91,3449.7,3503.78,3485.12,3463.01,3507.9,3505.47,3517.15,3450.4,3496.78,3492.82,3499.62,3462.17,3525.16,3509.33,3526.92,3507.61,3496.77,3453.24,3480.04,3487.18,3488.06,3459.39,3486.32,3521.68,3524.6,700
15000,1937.52,1918.61,1930.27,1917.36,1933.06,1983.03,1936.02,1917.08,1908.15,1947.11,1981.78,1951.2,1947.15,1952.91,1885.16,1875.96,1927.47,1931.07,1986.58,1962.27,1939.26,1969.4,1940.62,1943.38,1951.81,1871.04,1929.55,1925.47,1939.24,1913.99,1902.89,1973.16,1890.66,1952.17,1933.78,1922.09,1954.23,1917.99,1931.97,1924.26,1940.77,1903.99,1956.47,1954.66,1903.66,1973.44,1910.24,1961.22,1907.81,1952.26,1977.49,1925.87,1945.29,1979.17,1954.19,1933.12,1952.41,1972.39,1953.44,1940.01,1915.93,1926.21,1937.85,1968.04,1965.56,1931.71,1935.98,1944.54,1885.19,1945.76,1970.05,1927.49,1929.87,1946.53,1979.08,1900.73,1953.71,1997.08,1925.38,1947.75,1943.21,1961.34,1915.97,1929.18,1958.63,1944.48,1932.36,1983.52,1980.5,1980.44,1938.99,1952.4,1915.8,1923.49,1936.91,1946.36,1904.41,1929.82,1941.71,1954.17,700
18000,697.0,683.83,694.4780000000001,725.788,709.924,742.553,681.053,699.591,678.7139999999999,714.676,727.179,714.2280000000001,740.063,718.188,651.581,676.24,694.755,676.942,743.949,726.294,721.331,730.16,713.212,711.587,698.678,661.301,685.638,725.682,693.5369999999999,699.2239999999999,688.19,733.763,669.127,762.918,738.4069999999999,662.552,744.365,710.1510000000001,733.18,706.837,748.005,677.443,742.432,704.038,669.813,731.97,724.4630000000001,703.689,667.204,731.806,723.5369999999999,713.3589999999999,713.665,736.94,703.942,691.262,725.62,728.55,688.573,729.877,704.805,729.947,710.5139999999999,691.546,698.207,694.294,679.692,711.568,651.956,743.415,746.567,694.5089999999999,763.887,696.1669999999999,748.824,697.998,719.743,741.8960000000001,701.6310000000001,739.529,659.875,718.385,713.293,717.493,729.3639999999999,726.415,706.6139999999999,750.023,770.203,749.763,680.6,703.2,683.183,691.064,683.1469999999999,720.947,658.238,688.0010000000001,709.6669999999999,740.7539999999999,700
21000,148.65200000000002,155.679,149.743,168.623,166.02200000000002,174.945,150.406,167.763,151.359,151.518,174.735,160.16,187.043,166.03599999999997,157.548,153.523,160.451,148.747,163.52700000000002,149.916,149.903,168.34599999999998,151.861,166.77200000000002,142.77700000000002,142.013,158.315,147.872,159.532,153.137,153.291,164.877,154.403,196.78,177.688,146.261,162.653,147.346,180.615,144.589,150.879,151.215,180.582,158.096,155.345,173.352,166.024,142.609,133.387,175.623,175.732,152.094,167.046,163.651,150.69,160.97,156.72799999999998,171.266,154.998,164.924,143.916,169.94799999999998,156.58,142.52100000000002,153.572,145.35,147.187,149.55700000000002,131.75,170.97299999999998,174.549,154.95,174.417,164.877,177.61,157.532,166.835,159.226,162.435,166.82299999999998,141.183,152.227,157.38299999999998,175.16299999999998,170.938,168.798,145.762,176.794,179.97099999999998,172.03400000000002,153.39,152.662,154.762,160.803,156.71200000000002,167.34099999999998,149.435,143.292,161.431,157.33,700
