Generation,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100,pop
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,.10
5000,8512.74,8498.46,8493.44,8525.04,8527.55,8510.74,8486.94,8516.39,8449.16,8529.33,8447.67,8495.99,8507.27,8525.54,8480.22,8478.56,8499.25,8476.29,8519.98,8525.18,8519.2,8516.75,8520.42,8456.78,8490.02,8490.01,8547.57,8514.26,8516.78,8458.79,8488.26,8483.04,8492.78,8505.66,8486.58,8498.46,8527.5,8499.17,8486.29,8525.44,8438.74,8484.25,8516.62,8505.92,8522.57,8489.55,8515.02,8497.15,8534.57,8507.67,8483.25,8451.68,8526.59,8530.04,8500.06,8456.67,8508.1,8493.06,8457.64,8505.88,8512.06,8478.68,8524.29,8543.02,8557.6,8470.97,8477.1,8468.48,8521.0,8515.8,8485.55,8499.88,8508.76,8488.05,8505.2,8507.19,8507.16,8503.17,8476.41,8525.13,8510.21,8487.92,8462.59,8475.39,8480.37,8493.35,8533.6,8460.66,8472.88,8500.37,8521.54,8448.74,8479.64,8484.6,8461.25,8525.12,8511.85,8515.06,8469.81,8480.98,.10
10000,7184.06,7178.03,7136.06,7196.59,7204.23,7179.24,7101.13,7175.81,7093.02,7210.37,7142.55,7159.53,7130.24,7190.99,7137.63,7164.14,7157.89,7116.94,7177.54,7182.26,7181.51,7228.65,7194.57,7140.13,7159.8,7168.22,7229.53,7185.61,7168.56,7136.7,7151.16,7143.67,7158.16,7123.27,7190.1,7127.58,7152.2,7132.61,7117.17,7178.11,7101.23,7150.15,7192.79,7193.78,7203.96,7138.5,7143.93,7165.15,7182.18,7192.16,7139.45,7090.18,7173.28,7190.93,7136.41,7075.58,7173.6,7172.75,7084.64,7145.67,7185.09,7094.35,7164.05,7229.3,7198.93,7170.23,7152.62,7090.86,7167.86,7186.57,7176.06,7150.92,7190.42,7165.76,7156.0,7146.72,7162.05,7153.29,7143.35,7204.0,7134.79,7148.23,7132.93,7129.94,7150.48,7181.7,7210.57,7117.27,7150.3,7136.78,7173.17,7104.6,7143.23,7166.03,7111.64,7207.42,7161.75,7148.15,7141.88,7148.27,.10
15000,5897.77,5901.32,5791.68,5894.62,5893.45,5846.81,5794.56,5934.43,5771.08,5922.78,5836.96,5847.26,5803.5,5844.63,5849.26,5875.09,5850.78,5833.87,5843.96,5830.95,5840.08,5900.91,5933.22,5818.82,5818.78,5891.67,5896.13,5881.9,5851.59,5856.51,5854.12,5846.94,5863.44,5846.81,5876.0,5824.12,5821.18,5813.81,5820.06,5844.33,5790.02,5860.88,5902.69,5919.61,5901.64,5825.25,5805.5,5882.57,5866.46,5909.94,5844.96,5777.27,5852.84,5904.5,5856.37,5735.8,5846.68,5850.27,5775.05,5852.99,5844.36,5826.26,5860.79,5901.75,5843.58,5868.27,5832.58,5754.1,5839.44,5890.72,5848.99,5831.2,5919.17,5860.31,5844.89,5825.58,5853.62,5841.97,5872.29,5873.7,5820.71,5879.23,5839.28,5827.63,5847.23,5890.67,5933.56,5810.99,5860.25,5836.89,5855.07,5808.06,5846.16,5896.68,5823.14,5908.66,5877.43,5849.21,5843.65,5829.59,.10
20000,4555.85,4633.69,4490.17,4624.13,4562.8,4539.38,4511.69,4632.0,4500.34,4635.34,4522.91,4517.63,4491.15,4558.51,4570.72,4585.05,4562.59,4588.39,4566.95,4496.88,4515.83,4603.15,4586.32,4507.17,4505.75,4619.1,4607.54,4580.9,4577.62,4546.07,4559.24,4548.86,4541.06,4573.7,4614.01,4523.08,4566.92,4468.65,4509.52,4547.16,4467.35,4556.47,4628.39,4612.65,4601.9,4519.12,4587.3,4580.18,4585.32,4618.92,4567.18,4476.36,4535.44,4571.54,4557.45,4470.85,4618.41,4563.98,4476.83,4554.45,4535.5,4533.96,4550.34,4647.09,4524.59,4585.24,4545.0,4448.61,4500.74,4624.96,4554.62,4561.72,4614.18,4557.05,4549.18,4508.42,4528.24,4552.51,4554.57,4558.91,4522.22,4583.04,4559.27,4535.48,4519.71,4587.64,4608.61,4508.0,4556.69,4566.06,4560.66,4525.97,4573.31,4635.24,4524.39,4600.08,4564.48,4543.89,4520.15,4511.41,.10
25000,3302.72,3296.84,3230.02,3327.3,3270.39,3251.0,3228.51,3333.84,3249.35,3346.58,3192.3,3202.0,3212.15,3283.28,3272.23,3236.1,3246.92,3273.57,3290.0,3164.75,3243.33,3333.01,3282.07,3194.08,3169.15,3352.74,3308.96,3249.29,3308.94,3279.91,3251.76,3268.33,3241.48,3319.5,3300.48,3231.64,3310.32,3160.43,3235.91,3236.78,3224.22,3283.57,3305.54,3297.59,3304.53,3233.07,3317.53,3322.37,3302.1,3360.06,3272.7,3165.05,3261.28,3221.76,3277.76,3179.01,3332.55,3261.08,3151.98,3248.88,3255.03,3251.2,3242.08,3322.17,3242.84,3307.16,3253.14,3131.88,3206.16,3357.63,3256.33,3272.33,3307.63,3268.97,3258.61,3213.56,3278.5,3287.91,3265.3,3290.86,3242.43,3254.35,3314.25,3202.91,3174.41,3313.96,3257.61,3237.14,3225.52,3283.22,3293.7,3242.63,3251.53,3317.36,3242.61,3314.84,3239.97,3235.56,3195.49,3240.32,.10
30000,2071.7,2052.32,2003.39,2047.09,2020.28,2052.8,2054.83,2082.12,2005.97,2047.96,1918.16,2000.52,1992.42,2072.54,2031.11,1992.08,1947.62,2064.72,2029.27,1982.61,2019.68,2131.11,2123.32,2024.09,2012.01,2148.99,2007.23,1987.89,2109.58,2049.82,2028.63,2011.3,2059.99,2075.43,2099.5,2027.37,2122.81,1949.65,2042.43,1964.55,2019.47,2023.42,1987.1,2063.3,2063.01,2001.44,2069.14,2081.06,2087.46,2130.1,2030.62,1891.06,2054.86,2002.6,2101.43,1939.34,2107.86,2018.44,1978.19,2095.47,2066.25,2069.18,1944.91,2114.97,2019.7,2029.77,2022.71,1962.15,1916.08,2129.53,2016.16,2106.47,2049.22,1973.23,1997.99,1969.84,1991.32,2100.25,1974.07,2019.27,1984.59,2022.4,2060.19,1987.55,1918.04,2132.83,2002.42,2035.88,1982.67,2061.45,2073.88,1988.8,2014.52,2051.52,2009.1,2107.07,2023.8,2032.82,1902.93,2094.93,.10
35000,1109.96,1129.47,1102.05,953.2389999999999,1047.12,1136.02,1119.34,1071.41,987.701,1098.29,1067.45,1071.53,1053.05,1046.87,1135.45,1075.19,957.659,1065.03,1054.53,944.571,1126.24,917.0260000000001,1021.23,1001.98,966.2389999999999,987.6560000000001,998.4169999999999,960.304,1076.48,1116.54,1028.61,1000.16,1079.13,997.868,1124.67,1069.54,1172.44,984.648,1015.17,973.188,1133.7,1044.95,1029.2,1041.48,1071.91,1056.91,1065.45,1158.05,1155.81,1101.22,1124.62,990.074,1113.35,1001.79,1175.39,983.81,1163.68,1036.38,1085.48,972.635,1030.78,1076.2,925.432,1114.14,1077.67,1081.6,1044.9,925.971,893.237,1097.81,1020.12,1191.89,927.807,999.5219999999999,1009.79,1069.95,1004.35,1137.32,990.368,1054.13,1098.66,1117.06,1070.97,1121.16,1014.04,1053.65,951.313,1115.84,967.383,1098.8,1063.9,1001.37,1050.47,1063.42,1082.11,1142.81,992.0169999999999,1024.93,997.8860000000001,1141.61,.10
40000,507.272,528.137,487.735,423.39,536.6,545.861,506.459,439.709,438.458,489.559,500.14300000000003,471.781,532.18,440.58099999999996,507.75699999999995,515.961,391.48900000000003,492.68300000000005,470.36400000000003,397.61699999999996,522.5319999999999,439.087,444.086,494.67900000000003,369.24800000000005,424.533,461.42900000000003,461.796,494.43699999999995,509.277,483.955,514.038,523.839,425.01,484.20300000000003,554.9680000000001,567.722,497.151,406.466,408.37,491.00300000000004,470.535,470.73800000000006,473.41900000000004,524.923,482.226,452.461,574.193,519.0,541.374,537.309,466.202,533.7769999999999,439.959,518.9119999999999,441.361,580.134,482.894,510.426,446.715,540.2819999999999,461.041,417.965,491.827,497.222,441.38800000000003,532.8009999999999,390.217,415.49199999999996,500.594,423.099,555.881,422.983,473.971,484.905,539.837,454.86,491.721,463.471,480.162,538.328,548.673,466.244,558.485,482.125,487.009,429.917,526.087,459.91900000000004,536.614,485.70300000000003,487.171,433.6,455.059,451.43,512.491,460.934,489.815,458.31699999999995,531.2080000000001,.10
45000,209.01,273.422,224.46400000000003,221.52700000000002,283.487,233.767,261.938,222.495,225.52200000000002,252.04,245.764,255.032,248.007,219.449,229.55700000000002,268.243,217.43200000000002,243.46400000000003,246.977,206.58900000000003,240.294,238.331,237.649,290.27099999999996,179.82299999999998,213.075,231.59900000000002,253.42700000000002,245.38,233.477,289.35900000000004,236.739,261.21,229.581,230.878,289.618,241.305,222.94799999999998,193.481,200.047,254.071,257.968,236.257,236.493,240.896,242.615,221.541,219.002,257.20599999999996,304.846,265.95799999999997,246.203,273.205,229.50799999999998,291.543,230.22,295.598,239.011,258.953,229.199,265.716,221.44799999999998,187.257,230.452,260.55,211.0,282.944,211.32299999999998,263.009,231.722,229.482,289.16,229.84599999999998,243.11700000000002,216.067,240.745,242.60299999999998,219.63299999999998,236.56099999999998,249.56599999999997,276.692,256.122,223.797,284.382,269.14099999999996,232.11,223.628,259.866,241.167,279.606,221.618,248.57,197.24900000000002,277.219,247.887,260.105,242.167,264.99,253.178,253.662,.10
