Generation,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100,pop
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10
3000,8444.44,8523.52,8524.48,8441.62,8426.28,8484.26,8539.0,8427.77,8610.24,8519.89,8523.16,8466.52,8467.79,8418.88,8366.82,8497.44,8409.32,8471.84,8371.57,8428.4,8591.36,8499.97,8415.59,8405.33,8454.3,8423.37,8312.0,8394.82,8379.99,8467.41,8467.21,8380.62,8440.09,8455.34,8492.24,8475.03,8386.01,8304.22,8487.53,8399.85,8430.34,8486.55,8454.57,8500.92,8443.24,8389.14,8452.78,8519.13,8509.51,8533.5,8403.37,8464.45,8447.03,8514.67,8424.26,8488.46,8493.9,8483.07,8387.28,8520.7,8422.22,8527.31,8490.1,8493.78,8483.91,8478.61,8489.51,8497.15,8507.26,8439.48,8405.89,8483.33,8497.33,8492.75,8471.18,8431.98,8450.49,8448.49,8390.06,8440.05,8439.72,8484.36,8514.75,8440.44,8387.97,8520.57,8460.39,8465.26,8470.08,8354.62,8370.64,8326.27,8478.86,8453.78,8451.35,8500.47,8463.54,8419.29,8444.87,8490.76,10
6000,6969.2,6979.33,6942.22,6911.22,6773.65,6822.79,7074.0,6877.34,7097.93,6953.87,6952.55,6960.12,7005.08,7010.98,6911.48,6968.51,6972.87,7017.77,6817.16,6956.64,7096.59,6835.95,6811.26,6856.82,6990.26,6789.74,6742.98,6771.46,6856.9,6981.12,7010.26,6802.62,6958.61,6900.12,7066.68,7000.88,6880.37,6749.51,6989.14,6904.61,6898.13,6917.45,6930.64,7034.48,7010.35,6913.75,6830.23,7032.94,7009.91,7016.35,6794.13,6854.72,6992.1,7010.14,6893.5,6960.85,6933.34,6949.29,6788.89,7054.49,6920.2,6889.07,6901.66,6946.08,6930.68,6853.01,7054.2,6967.9,6980.07,6905.59,6818.08,6872.47,6935.32,6912.45,6948.59,6903.15,6987.91,6861.94,6783.34,6894.51,6852.5,6882.81,6974.51,6907.39,6783.06,7102.67,6856.28,6981.21,6874.33,6712.14,6975.52,6877.97,6840.26,6987.69,6970.11,7104.25,6930.54,6875.04,6844.08,6932.58,10
9000,5429.64,5350.71,5418.35,5375.98,5230.85,5337.03,5517.26,5380.98,5520.09,5495.78,5398.49,5405.47,5343.43,5435.21,5379.37,5403.71,5462.42,5414.25,5320.73,5394.06,5542.17,5342.5,5196.59,5372.57,5492.55,5408.25,5198.62,5243.33,5178.59,5456.35,5483.09,5234.66,5420.03,5299.25,5551.79,5459.22,5308.58,5366.18,5417.72,5341.28,5371.34,5344.57,5318.26,5486.45,5425.84,5459.43,5301.42,5521.04,5466.96,5531.65,5319.77,5297.68,5595.31,5425.21,5380.65,5377.59,5327.42,5417.64,5225.72,5438.29,5374.37,5211.34,5310.37,5402.48,5323.84,5372.21,5397.29,5483.0,5454.52,5376.85,5160.57,5394.09,5412.29,5346.95,5265.06,5236.24,5434.77,5321.67,5247.16,5391.56,5401.88,5352.33,5480.81,5365.08,5283.89,5513.54,5272.8,5399.17,5359.38,5124.14,5403.18,5389.79,5255.0,5535.44,5492.8,5622.09,5412.91,5323.9,5242.0,5316.19,10
12000,3955.86,3824.6,3876.51,3703.86,3746.72,3725.01,3978.24,3877.37,4077.28,4036.16,3915.71,3871.29,3886.43,3886.23,3849.53,3836.43,3891.11,3851.96,3856.46,3866.38,3955.91,3696.53,3656.28,3877.88,3969.19,3871.48,3618.36,3729.24,3654.5,3862.22,3878.8,3651.17,3888.23,3730.71,4066.68,3916.64,3753.51,3934.24,3973.8,3797.09,3929.18,3841.79,3759.67,3876.97,3816.99,3873.92,3720.11,4052.0,4017.44,3886.38,3750.03,3831.68,4149.88,3824.7,3839.49,3815.61,3881.91,3825.08,3683.94,3838.25,3832.67,3615.51,3832.62,3819.52,3734.71,3805.71,3921.98,3918.94,3849.52,3804.32,3660.22,3880.13,3846.58,3819.85,3673.14,3745.84,3795.9,3673.31,3727.07,3849.38,3866.69,3884.62,3968.54,3853.51,3808.99,4049.87,3804.41,3750.34,3803.07,3669.93,3853.4,3817.66,3677.88,4025.95,4024.08,4073.7,3813.5,3743.48,3690.69,3766.58,10
15000,2450.41,2283.59,2431.94,2162.69,2243.21,2160.59,2523.78,2338.21,2536.92,2534.18,2419.95,2323.23,2317.06,2227.35,2386.52,2236.11,2346.59,2394.47,2296.47,2326.97,2431.64,2158.13,2083.02,2323.61,2460.6,2367.14,2051.18,2211.56,2146.17,2359.59,2246.57,2130.88,2417.57,2168.0,2483.95,2424.46,2181.48,2344.96,2362.18,2287.48,2346.09,2342.28,2217.19,2372.65,2334.92,2394.47,2202.43,2498.16,2487.15,2335.51,2181.85,2351.71,2579.59,2280.5,2453.85,2289.01,2340.29,2310.84,2195.86,2416.83,2306.43,2126.7,2283.08,2346.35,2332.47,2332.1,2506.81,2397.92,2273.51,2255.09,2149.31,2454.01,2289.97,2321.84,2161.21,2304.96,2256.74,2092.09,2183.61,2235.61,2304.76,2364.83,2599.27,2389.62,2338.82,2550.49,2275.12,2171.37,2193.55,2066.92,2298.55,2308.64,2239.28,2599.68,2426.73,2579.36,2348.49,2164.34,2213.16,2222.73,10
18000,1069.37,950.5219999999999,1155.63,948.5219999999999,940.539,949.3939999999999,1162.7,1023.87,1153.03,1169.58,1189.07,1021.99,1102.22,995.8889999999999,1042.51,944.4680000000001,1039.21,1007.04,1039.25,1032.83,1159.18,945.33,831.046,954.461,1095.67,1040.56,779.08,995.2589999999999,950.832,976.454,913.957,890.535,1071.11,976.475,1052.16,1097.87,849.294,1089.56,1162.22,998.8380000000001,1054.89,1008.07,924.0830000000001,1059.13,1047.36,1044.55,957.847,1196.2,1124.11,1054.11,930.074,1009.74,1213.11,982.8439999999999,1125.13,1022.08,1014.0,1008.93,970.0980000000001,1228.73,991.988,822.013,953.576,1140.8,1126.48,1071.05,1167.0,1092.98,964.725,937.6210000000001,859.377,1218.96,1011.12,1007.35,872.96,976.758,961.175,805.813,894.257,1029.38,1064.6,1183.26,1227.14,1108.08,1027.62,1214.5,1008.64,859.845,974.405,832.643,914.2589999999999,1001.03,992.59,1221.59,1163.58,1237.36,1054.04,813.898,920.312,915.82,10
21000,291.89599999999996,191.94799999999998,383.34,340.598,228.46599999999998,242.19299999999998,348.348,342.668,408.56699999999995,335.423,344.519,289.168,325.971,279.579,327.974,259.638,283.642,298.627,258.904,249.05599999999998,339.13599999999997,255.49099999999999,174.18,259.817,277.556,376.76300000000003,243.924,223.84900000000002,291.937,263.754,222.065,195.94299999999998,361.219,266.73900000000003,314.79,294.407,186.733,261.705,383.251,298.147,282.085,257.76599999999996,294.487,303.709,276.58299999999997,335.75,240.158,437.165,292.66,245.947,281.434,264.367,297.95,314.013,301.238,260.815,250.3,274.518,306.048,426.279,284.128,208.128,289.935,340.76300000000003,373.077,294.817,294.676,361.63199999999995,301.76599999999996,272.768,209.864,397.56199999999995,275.175,333.50300000000004,183.208,283.46,271.925,210.99200000000002,261.124,314.894,363.45300000000003,375.144,410.509,328.11699999999996,304.043,353.19300000000004,339.60699999999997,225.67700000000002,258.483,221.547,258.02,294.506,245.243,408.08099999999996,385.334,421.728,264.0,229.418,217.545,248.937,10
24000,102.469,67.0474,101.986,90.2952,91.7679,71.0298,107.729,107.68,148.20600000000002,104.789,114.42299999999999,79.7017,102.947,74.0407,89.7874,73.7457,79.6314,87.2198,67.5103,63.9609,95.7744,84.7746,69.6995,84.8037,103.25,166.77,94.5673,67.053,79.337,82.9505,86.2337,55.5324,92.0798,47.5952,81.9655,95.1149,65.3277,92.1482,87.5993,75.242,91.21,52.9375,80.6759,67.3091,108.62299999999999,103.12899999999999,70.8816,129.071,100.334,58.3179,87.7786,91.7894,89.9795,92.6914,83.5582,90.0897,82.37799999999999,102.09200000000001,93.3737,119.956,75.8439,59.4214,79.8841,89.4868,100.603,110.274,73.4619,67.2539,100.656,80.1921,63.2056,108.465,68.3588,87.256,82.1623,89.7947,74.6513,61.1851,116.493,72.5315,90.8557,80.172,81.5887,81.3449,119.39,81.5393,125.779,81.3516,68.0237,72.683,116.829,101.236,63.3571,92.5188,103.546,117.411,90.7694,68.0046,66.9046,69.4221,10
27000,62.7451,54.0517,73.1555,68.7381,60.7747,52.9089,74.811,57.1354,54.0922,61.4642,64.4871,54.2441,76.8673,62.775,65.187,73.6285,67.1526,68.3644,73.4148,61.9822,78.2479,68.7629,60.5527,58.9533,53.6674,72.493,68.149,48.5005,67.7321,58.971000000000004,46.0799,55.6228,81.2217,69.1232,72.1022,35.7218,51.6065,67.4551,57.426,67.0259,67.3169,70.9522,62.8161,62.813,75.3442,60.3869,73.3631,63.9949,54.1061,53.8197,75.8586,60.0184,58.5714,73.2586,61.2109,57.2849,60.9969,59.7803,51.1536,82.0522,79.9098,66.76100000000001,72.1355,69.3111,62.865,59.4431,55.2969,54.126000000000005,60.0938,71.3528,50.0862,54.8327,47.6939,65.1137,69.2415,75.7035,48.6637,63.7801,84.9144,62.8735,62.0755,61.0574,48.3974,64.8477,72.1753,62.2193,46.821000000000005,56.1378,63.9832,73.9399,54.4219,82.3788,56.4654,72.9795,65.5757,57.3587,65.1656,53.2378,47.5219,52.0043,10
