Generation,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100,pop
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,.10
1000,8939.04,8895.05,8925.29,8890.87,8903.1,8880.4,8875.07,8882.37,8885.66,8883.52,8870.2,8922.48,8927.04,8857.85,8948.85,8937.42,8950.44,8927.14,8917.75,8885.59,8914.17,8889.01,8918.43,8915.04,8956.12,8919.13,8838.73,8867.04,8901.59,8933.74,8911.56,8861.02,8897.84,8914.95,8906.79,8887.13,8911.87,8879.77,8864.78,8916.8,8905.46,8894.98,8861.08,8936.83,8919.77,8870.6,8883.74,8868.92,8907.11,8884.7,8811.26,8904.27,8898.17,8852.72,8899.32,8927.13,8881.66,8879.83,8895.21,8948.76,8922.44,8914.13,8888.74,8933.11,8926.33,8924.43,8932.74,8874.25,8891.06,8892.6,8871.8,8821.12,8913.92,8858.11,8855.15,8927.82,8914.65,8896.02,8892.35,8878.16,8891.11,8906.1,8877.31,8924.72,8925.34,8881.49,8915.55,8917.17,8914.12,8930.32,8906.01,8903.89,8927.53,8916.55,8913.35,8912.89,8900.76,8872.05,8893.74,8849.97,.10
2000,7871.18,7880.85,7813.03,7847.24,7855.01,7778.3,7797.52,7823.66,7824.99,7782.81,7826.27,7909.34,7775.89,7794.77,7877.68,7833.62,7897.11,7878.29,7810.67,7767.5,7850.04,7842.66,7861.81,7833.86,7875.06,7830.04,7763.88,7800.38,7790.9,7869.43,7851.68,7853.59,7793.29,7827.74,7822.41,7805.88,7796.71,7753.49,7819.54,7846.57,7716.43,7839.38,7792.77,7859.1,7881.55,7815.59,7747.34,7758.03,7827.52,7802.75,7717.37,7821.15,7849.75,7790.44,7839.75,7854.34,7842.03,7811.36,7788.02,7902.85,7861.37,7884.16,7822.02,7824.95,7839.92,7887.53,7832.25,7808.07,7775.92,7806.74,7789.71,7801.79,7793.83,7813.05,7824.84,7850.01,7825.67,7803.73,7799.02,7822.65,7846.16,7857.0,7813.38,7854.8,7877.36,7846.68,7881.71,7827.48,7808.01,7901.31,7819.77,7830.35,7814.84,7851.63,7817.54,7848.5,7786.97,7711.45,7828.86,7830.39,.10
3000,6785.53,6806.32,6773.06,6781.06,6774.3,6667.31,6745.53,6759.19,6781.33,6703.12,6748.7,6818.79,6661.98,6735.55,6756.76,6824.62,6828.8,6792.34,6698.91,6735.55,6727.62,6805.0,6845.69,6816.18,6810.38,6747.25,6761.45,6725.49,6684.1,6791.63,6790.19,6777.61,6716.64,6788.89,6809.95,6791.27,6711.15,6677.35,6634.18,6817.98,6679.89,6769.77,6725.7,6752.46,6751.65,6677.81,6683.59,6715.19,6729.5,6727.12,6666.11,6724.11,6807.23,6739.7,6714.38,6774.11,6763.68,6728.57,6692.05,6832.21,6795.96,6802.61,6736.17,6763.35,6758.9,6844.02,6745.51,6715.28,6706.91,6737.68,6712.47,6710.56,6769.37,6740.7,6750.1,6801.67,6725.12,6720.59,6743.43,6737.64,6779.51,6777.14,6754.1,6808.29,6849.09,6748.51,6810.95,6758.73,6720.92,6859.3,6666.21,6764.26,6772.08,6791.55,6773.86,6799.84,6751.59,6613.47,6803.37,6775.92,.10
4000,5813.15,5885.81,5805.98,5839.64,5756.83,5642.06,5781.74,5802.09,5775.17,5630.82,5753.81,5833.98,5646.08,5748.99,5717.36,5723.38,5827.75,5793.44,5579.48,5822.06,5648.28,5767.34,5781.24,5742.64,5872.64,5762.65,5710.58,5629.98,5686.18,5745.5,5796.62,5706.09,5710.37,5798.21,5726.53,5706.5,5728.93,5639.17,5640.02,5891.32,5672.3,5812.28,5695.26,5751.54,5790.36,5677.77,5678.34,5682.14,5692.37,5634.95,5608.94,5678.94,5758.5,5830.12,5705.23,5693.91,5767.37,5714.42,5661.05,5786.89,5691.25,5758.57,5683.3,5766.9,5807.59,5873.9,5790.02,5627.39,5656.39,5758.85,5593.31,5664.25,5747.73,5707.42,5660.23,5795.49,5779.11,5711.88,5716.0,5684.22,5822.82,5800.27,5802.95,5832.54,5810.43,5681.68,5748.77,5797.54,5686.1,5795.23,5628.35,5814.36,5769.25,5837.02,5752.53,5822.65,5655.26,5573.22,5753.69,5739.6,.10
5000,5071.05,5217.48,4906.0,5097.49,4878.33,4765.58,4863.68,5076.82,4909.27,4749.15,4872.58,4923.17,4632.13,4960.52,4796.68,4757.49,5031.53,4945.61,4621.81,5068.2,4651.97,4872.9,4824.85,4806.26,5085.01,4904.68,4779.25,4720.56,4712.92,4850.6,4830.32,4757.09,4858.4,4907.45,4801.16,4700.83,5072.42,4709.86,4801.54,4946.52,4728.92,5045.76,4758.47,4877.65,5081.77,4808.0,4739.64,4772.68,4872.72,4729.87,4716.79,4797.63,4916.5,5065.96,4932.01,4813.54,4891.18,4793.41,4722.8,4853.86,4885.64,4766.23,4744.95,5042.11,5103.1,5020.86,5075.56,4674.84,4753.01,4771.28,4657.83,4742.89,4810.02,4814.72,4730.49,5036.58,4899.95,4680.95,4818.15,4735.18,5079.19,4931.85,4868.23,5094.53,4854.02,4840.71,4781.94,5081.56,4851.47,4856.15,4700.1,5051.87,4771.6,5006.28,4959.73,5080.27,4743.66,4643.97,4797.74,4744.8,.10
6000,4419.51,4351.9,4103.38,4471.0,4141.84,3992.6,4153.17,4414.68,4202.17,3932.08,4134.48,4160.79,3908.13,4183.7,3984.22,3995.98,4293.67,4206.78,3837.49,4399.19,3915.43,3977.73,4022.22,4010.73,4389.4,4147.61,3940.38,3958.93,3918.77,4099.48,3924.35,3965.24,4063.67,4082.39,4047.16,3904.56,4303.1,3892.99,4016.77,4313.53,3885.11,4418.29,3905.64,4069.5,4435.5,4056.73,3951.04,4004.69,4139.17,3973.56,3899.5,3971.14,4181.45,4421.95,4222.01,4029.01,4173.43,4025.84,3931.55,4043.32,4089.53,3929.27,3998.05,4434.26,4454.86,4278.81,4471.98,3861.3,3948.19,3959.23,3915.51,3867.06,3980.68,4001.95,3919.86,4399.29,4078.96,3926.5,4025.9,3949.63,4227.94,4168.78,4090.67,4385.76,3982.81,4001.34,4013.74,4470.37,4060.19,4046.47,3925.42,4335.25,3984.62,4255.87,4182.14,4454.95,3967.81,3918.5,3992.09,4016.08,.10
7000,3812.83,3666.84,3456.14,3848.5,3529.63,3320.85,3438.27,3832.89,3527.22,3273.31,3399.44,3450.91,3302.88,3440.56,3384.65,3387.57,3642.63,3553.2,3238.46,3754.6,3214.23,3285.05,3355.71,3370.71,3620.66,3438.15,3303.86,3294.92,3285.82,3417.19,3259.67,3278.77,3369.39,3382.38,3431.24,3351.62,3563.6,3249.43,3322.94,3520.2,3249.04,3746.43,3228.75,3382.07,3670.29,3285.75,3265.94,3367.27,3435.62,3334.23,3226.12,3294.76,3537.83,3848.98,3526.06,3396.42,3470.17,3374.44,3324.94,3387.14,3380.8,3314.19,3343.32,3698.43,3844.58,3579.24,3795.97,3287.72,3297.08,3295.16,3279.75,3222.09,3322.82,3322.0,3290.36,3824.17,3366.37,3253.84,3294.36,3278.96,3510.77,3483.04,3490.66,3704.78,3310.86,3395.86,3317.65,3760.5,3384.76,3362.13,3264.9,3684.36,3255.02,3529.29,3508.94,3849.64,3357.14,3252.73,3341.43,3341.33,.10
8000,3185.24,2979.08,2821.28,3184.04,2849.07,2699.19,2826.08,3139.82,2856.61,2730.98,2797.54,2854.38,2649.63,2792.55,2746.75,2800.8,2959.75,2925.55,2641.53,2976.14,2624.24,2712.6,2807.65,2767.5,2935.78,2851.21,2728.58,2686.63,2677.84,2779.81,2698.13,2740.62,2788.93,2740.65,2863.62,2796.07,2924.84,2632.98,2703.75,2808.89,2810.19,3025.86,2643.18,2807.12,2993.39,2734.61,2688.46,2837.61,2777.96,2746.75,2623.74,2685.52,2841.96,3242.97,2763.55,2823.36,2829.84,2756.75,2742.31,2820.92,2753.51,2738.29,2725.25,3092.06,3165.19,2926.35,3086.27,2686.42,2808.13,2726.23,2766.59,2672.81,2787.79,2705.25,2788.29,3158.17,2801.43,2693.86,2734.16,2732.41,2850.78,2767.3,2844.93,2926.46,2775.72,2825.15,2736.24,3097.84,2749.66,2795.58,2628.48,3037.91,2641.77,2930.88,2846.59,3189.26,2750.43,2688.77,2772.57,2770.82,.10
9000,2594.06,2337.47,2288.1,2573.36,2178.83,2189.74,2247.14,2452.84,2305.61,2248.41,2256.95,2287.43,2129.95,2237.87,2326.75,2256.08,2331.42,2336.34,2139.11,2330.25,2093.04,2183.25,2306.67,2271.08,2326.44,2306.66,2257.41,2153.33,2127.82,2283.02,2186.73,2167.96,2202.04,2189.21,2339.42,2278.18,2293.78,2115.95,2163.82,2235.21,2226.83,2303.94,2106.82,2288.77,2264.29,2219.02,2171.55,2293.35,2224.53,2202.67,2137.79,2132.07,2217.71,2602.78,2153.59,2263.59,2245.9,2222.95,2237.13,2282.1,2269.06,2227.55,2296.1,2342.18,2470.05,2369.71,2402.67,2192.09,2284.26,2218.4,2230.66,2159.97,2261.11,2129.46,2259.09,2565.28,2249.82,2134.72,2233.35,2240.81,2199.72,2175.68,2300.68,2272.65,2265.79,2254.08,2178.15,2391.96,2227.67,2148.69,2110.93,2398.82,2204.42,2312.48,2247.0,2566.99,2161.11,2168.34,2201.12,2219.25,.10
