Generation,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100,pop
0,931,938,936,942,916,923,931,942,918,924,937,921,923,928,937,922,924,939,927,934,932,914,923,927,922,930,933,930,934,929,921,919,927,923,942,931,938,923,917,932,914,934,940,930,927,931,939,929,923,928,922,925,929,925,939,916,922,935,933,938,919,928,922,930,930,938,918,939,944,945,915,927,918,927,932,921,924,924,938,929,928,941,921,928,927,925,927,928,927,932,931,938,933,921,921,941,931,939,927,919,1000
1,851,859,852,873,864,834,861,879,860,839,875,866,851,849,832,857,850,864,859,848,862,873,864,842,879,869,844,857,848,873,856,865,872,854,864,849,848,860,875,856,850,848,851,871,855,851,874,868,867,861,863,873,852,860,841,866,872,858,863,863,872,875,843,859,866,862,866,850,838,852,836,886,860,841,866,855,872,854,867,853,844,860,850,832,858,863,861,867,850,850,842,877,874,870,851,836,878,832,854,847,1000
2,855,836,852,857,869,864,853,869,855,855,854,858,876,854,858,864,864,850,867,825,847,869,860,859,855,864,854,876,847,872,873,848,861,853,864,859,843,858,873,847,844,860,852,857,870,851,872,856,864,855,886,861,854,870,849,857,868,837,858,871,848,863,845,862,856,870,847,884,860,856,853,870,841,835,852,858,858,863,860,877,853,848,847,861,855,846,859,875,827,893,865,870,868,865,862,851,851,848,849,851,1000
3,865,852,865,872,859,868,865,871,885,858,887,871,862,863,861,844,866,879,882,869,870,849,862,882,872,870,852,884,856,871,884,868,857,876,855,857,868,855,870,877,881,866,856,880,861,865,867,872,870,870,897,885,886,881,881,869,869,892,856,871,844,869,875,836,850,865,853,889,860,871,858,875,891,880,855,862,892,854,883,874,872,885,870,878,865,844,861,847,862,859,880,870,858,863,873,864,876,865,872,864,1000
4,853,875,871,850,858,873,873,867,864,876,862,866,891,886,892,882,868,877,860,867,885,872,860,870,848,879,860,857,866,857,867,874,859,884,873,870,902,842,872,872,892,873,864,873,880,869,870,861,857,881,834,869,876,879,870,867,875,879,867,860,877,861,859,889,868,864,875,853,885,876,872,878,845,871,883,845,842,879,862,852,858,870,864,866,891,862,872,866,869,864,865,884,851,865,861,866,857,881,862,857,1000
5,859,863,863,859,868,876,867,871,865,865,862,884,859,873,884,859,857,879,877,852,875,859,877,876,866,871,870,876,863,892,861,873,864,855,869,854,861,879,880,863,840,869,872,867,880,878,863,861,860,845,885,867,871,879,863,852,862,874,880,844,863,864,850,855,869,862,873,852,889,885,854,889,888,851,877,876,867,852,837,872,852,852,875,865,858,858,872,869,861,875,850,879,860,875,865,879,850,859,859,874,1000
6,896,880,863,871,874,879,859,866,890,871,857,863,860,857,881,859,885,850,855,861,876,860,876,862,860,867,883,871,864,855,872,875,857,872,868,862,885,870,856,871,857,876,872,874,859,866,852,875,886,862,871,876,881,856,862,869,883,854,857,875,865,875,856,858,857,864,872,857,881,860,865,891,869,862,866,857,879,869,876,882,875,866,894,884,871,880,845,868,867,865,878,859,863,876,879,874,872,882,871,870,1000
7,848,862,871,876,862,880,875,873,851,874,865,905,856,860,863,854,859,859,886,855,879,882,880,869,865,859,875,876,861,867,849,854,868,861,847,870,873,849,860,868,861,868,869,857,864,874,877,852,862,868,833,855,881,867,872,875,852,874,871,862,866,863,857,870,863,859,880,881,869,871,876,861,868,882,866,870,866,849,870,859,857,885,868,880,868,864,872,864,861,865,854,870,877,868,867,865,867,871,874,846,1000
8,870,850,863,863,878,860,872,853,863,848,865,869,880,897,860,877,883,876,880,876,874,860,866,886,866,880,867,861,853,864,876,860,869,891,887,873,840,869,859,874,857,867,877,857,873,879,875,864,865,867,870,871,857,856,872,880,867,859,875,871,867,871,839,866,878,874,867,868,875,885,867,854,866,859,873,870,883,878,880,868,864,871,865,870,879,878,867,849,848,861,881,869,876,891,889,867,875,853,880,890,1000
9,873,891,883,863,866,865,874,876,864,870,856,874,867,852,887,877,864,868,866,840,883,871,865,862,872,876,857,870,872,855,869,867,873,845,853,862,869,880,879,887,862,859,867,851,884,881,887,873,851,870,871,876,860,858,856,875,860,855,890,871,873,863,869,867,872,831,865,854,876,851,855,859,868,878,870,873,883,877,857,855,871,856,888,853,867,866,878,879,869,856,835,864,877,873,861,863,858,878,856,856,1000
10,867,862,867,863,873,877,887,860,850,856,865,875,869,878,859,871,883,869,887,873,856,882,847,884,872,888,879,859,890,871,875,883,871,891,856,859,888,881,873,875,870,866,872,855,867,866,851,880,853,855,875,874,876,877,889,861,875,866,880,869,853,855,871,889,876,870,879,866,878,861,872,868,870,871,876,872,855,870,876,862,858,876,870,857,878,866,866,864,884,870,877,850,859,877,849,871,883,855,864,863,1000
11,873,860,858,855,872,844,895,873,879,857,885,846,888,866,855,862,847,855,861,848,863,906,872,854,880,881,864,884,869,869,863,856,871,888,865,851,864,864,846,856,862,891,870,859,865,871,889,871,880,878,869,877,858,874,865,857,865,891,860,870,883,870,862,864,873,867,860,860,885,870,884,861,868,864,877,849,874,881,866,856,838,866,857,883,871,871,858,865,873,876,872,870,846,862,863,863,851,877,873,870,1000
12,865,883,881,897,886,881,893,872,880,867,879,864,858,865,856,866,873,850,863,868,879,862,866,871,874,877,883,865,869,851,867,873,854,858,869,894,869,867,866,885,860,840,848,860,862,834,884,860,865,873,862,872,866,873,872,877,864,853,857,863,867,884,877,873,888,870,862,866,870,870,880,886,874,873,882,871,868,866,878,873,868,892,869,872,856,868,872,865,871,897,864,863,884,872,849,842,848,872,877,887,1000
13,882,862,873,863,886,852,846,871,876,865,886,865,868,858,861,852,860,868,869,864,863,871,872,885,870,876,873,857,873,876,880,856,868,849,856,869,893,879,872,879,871,902,883,862,858,902,868,879,864,858,871,875,854,848,878,868,866,860,874,877,883,885,878,861,876,863,872,891,891,872,863,872,879,882,879,858,872,876,862,839,876,868,856,889,866,892,865,859,875,866,892,874,866,846,874,864,872,877,871,870,1000
14,857,863,860,863,863,873,863,875,877,859,872,849,870,865,872,884,861,864,867,890,867,886,876,869,860,881,873,870,879,860,882,863,855,850,891,882,865,857,860,862,866,853,859,876,874,880,864,868,867,879,879,864,864,873,849,859,861,856,859,844,874,864,854,877,875,856,862,855,861,876,873,862,868,859,864,866,849,867,864,877,899,879,870,882,874,861,866,860,875,876,862,865,860,867,854,880,847,857,857,882,1000
15,882,854,859,858,870,877,861,861,861,872,867,872,871,844,867,872,861,878,863,856,858,866,859,866,885,896,864,860,876,873,889,884,843,872,881,872,893,864,860,860,864,862,865,863,857,858,842,865,895,859,874,860,869,865,853,857,852,855,875,874,876,858,865,863,882,874,867,854,871,857,884,887,864,871,858,874,885,867,876,875,873,869,872,866,860,882,871,886,872,863,869,850,850,859,890,857,872,876,865,882,1000
16,869,868,867,860,877,857,878,855,878,860,861,854,869,871,861,859,866,867,862,858,855,849,878,873,872,850,883,861,861,858,868,882,861,862,859,855,878,876,860,866,873,876,863,850,880,859,868,873,871,862,849,852,893,833,872,876,865,862,864,868,885,871,867,888,872,861,872,856,873,860,862,864,861,872,866,870,859,885,852,865,840,864,855,852,880,857,856,858,863,867,858,880,875,863,865,876,866,875,851,881,1000
17,882,844,859,872,863,875,867,883,862,847,871,867,868,866,865,875,858,873,874,885,868,873,881,850,846,880,867,873,868,866,877,847,859,881,864,878,860,848,860,854,842,886,881,865,878,861,886,888,867,856,867,847,868,863,862,850,863,850,872,848,856,883,881,841,873,854,864,862,847,862,853,871,858,879,878,850,866,878,861,853,856,891,862,855,860,872,855,824,860,859,877,865,843,882,869,863,863,877,881,849,1000
18,862,852,857,859,851,857,863,867,858,873,852,866,846,864,833,861,855,871,874,873,882,846,882,869,865,854,865,870,855,861,877,866,882,860,860,856,855,863,856,859,877,850,884,854,853,863,872,864,863,851,856,864,852,871,846,848,869,857,849,861,872,848,867,868,881,850,858,849,882,886,849,874,850,872,874,879,855,870,857,864,867,842,872,876,868,846,858,855,843,853,834,852,870,893,881,847,872,874,871,888,1000
