Generation,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100,pop
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,7
700,8537.65,8526.34,8519.71,8545.14,8498.35,8547.57,8534.76,8547.0,8534.7,8539.26,8541.97,8526.38,8529.27,8550.86,8539.68,8540.43,8529.24,8553.59,8532.52,8537.42,8511.81,8529.05,8521.12,8539.86,8530.91,8533.17,8550.74,8526.53,8530.72,8535.87,8548.83,8531.95,8520.34,8535.53,8540.2,8542.76,8526.17,8534.85,8539.38,8520.64,8536.28,8531.98,8543.11,8535.8,8538.98,8530.79,8523.97,8535.0,8525.41,8533.97,8537.58,8521.87,8527.42,8528.34,8537.96,8520.14,8560.33,8534.05,8544.32,8516.91,8525.66,8552.16,8534.06,8543.41,8542.86,8538.72,8539.72,8539.61,8548.33,8531.04,8539.62,8530.81,8525.88,8534.15,8526.27,8542.67,8536.35,8544.97,8543.48,8530.86,8539.39,8542.81,8539.63,8555.5,8560.4,8517.57,8524.65,8550.43,8538.61,8546.8,8536.66,8533.52,8531.39,8535.13,8527.32,8539.7,8541.69,8548.24,8528.63,8552.02,7
1400,7071.25,7056.99,7048.61,7071.43,7046.12,7057.02,7067.67,7073.39,7063.44,7059.09,7069.81,7056.05,7051.85,7071.22,7045.96,7055.88,7066.24,7078.57,7032.71,7062.6,7056.06,7047.79,7025.23,7076.2,7080.32,7076.09,7075.97,7068.11,7052.81,7065.66,7075.87,7066.02,7046.27,7073.42,7059.56,7082.07,7067.39,7077.31,7077.42,7041.14,7070.05,7078.03,7088.52,7072.11,7051.89,7066.8,7054.16,7067.99,7062.58,7074.83,7074.01,7031.94,7041.01,7055.19,7083.32,7039.26,7095.53,7059.26,7083.94,7033.86,7068.87,7083.44,7054.07,7079.59,7069.49,7076.16,7066.98,7065.59,7053.82,7033.37,7054.13,7058.46,7057.77,7041.66,7074.39,7067.14,7074.27,7076.58,7072.16,7061.09,7075.52,7063.12,7058.85,7078.64,7082.53,7048.9,7052.89,7076.94,7063.27,7087.42,7075.74,7039.87,7063.6,7068.29,7063.16,7061.89,7093.45,7069.02,7064.95,7084.22,7
2100,5604.14,5587.2,5570.72,5608.64,5577.27,5592.31,5605.88,5615.35,5596.74,5568.64,5589.17,5587.82,5581.95,5608.42,5555.96,5598.28,5592.12,5606.97,5558.81,5578.33,5575.19,5585.78,5552.42,5597.7,5609.99,5590.12,5611.26,5601.97,5590.83,5605.79,5611.64,5602.5,5566.99,5589.7,5599.9,5619.0,5604.81,5623.39,5611.91,5598.5,5607.87,5614.63,5626.65,5613.44,5576.48,5607.65,5571.8,5607.16,5587.7,5613.08,5607.99,5581.18,5574.03,5589.15,5633.61,5550.34,5627.8,5584.98,5619.18,5567.08,5593.15,5611.3,5585.96,5609.95,5594.34,5608.1,5585.81,5573.76,5572.15,5559.55,5565.58,5608.11,5596.62,5563.22,5607.01,5598.9,5609.77,5624.26,5596.51,5584.83,5613.38,5599.47,5584.57,5602.94,5616.18,5580.16,5602.24,5590.78,5598.15,5622.95,5618.27,5568.44,5595.54,5602.29,5581.62,5614.52,5605.87,5608.82,5580.25,5597.29,7
2800,4139.45,4110.93,4087.27,4129.33,4113.12,4133.73,4134.45,4154.73,4117.27,4076.42,4136.52,4111.09,4122.42,4125.82,4098.41,4132.39,4122.95,4132.74,4082.07,4102.22,4107.69,4112.66,4086.07,4133.48,4142.45,4107.99,4131.72,4139.22,4134.61,4134.67,4165.19,4140.11,4085.88,4115.18,4122.57,4140.93,4144.94,4146.13,4152.26,4128.79,4155.03,4143.96,4139.35,4121.82,4105.4,4128.63,4108.5,4138.52,4110.55,4157.98,4141.66,4098.17,4107.88,4128.8,4167.42,4078.15,4150.72,4116.51,4139.2,4089.5,4104.12,4144.6,4112.21,4154.42,4128.56,4128.33,4127.09,4118.08,4088.6,4105.86,4076.95,4148.85,4124.8,4080.96,4137.76,4127.88,4152.51,4162.1,4112.47,4099.76,4148.71,4155.47,4109.12,4125.84,4160.93,4107.04,4138.39,4128.82,4139.56,4165.05,4135.81,4099.29,4119.63,4135.01,4110.9,4129.81,4112.33,4140.96,4123.21,4140.97,7
3500,2674.51,2648.19,2605.54,2660.76,2648.95,2675.01,2674.16,2700.46,2656.3,2604.93,2666.41,2641.85,2666.41,2660.38,2648.25,2665.72,2646.58,2660.56,2606.09,2647.54,2636.58,2645.42,2611.28,2671.76,2679.79,2643.14,2673.73,2671.12,2679.12,2670.44,2705.67,2677.78,2628.97,2654.28,2666.68,2678.63,2691.7,2659.81,2692.57,2673.32,2674.51,2687.55,2678.64,2659.8,2650.7,2656.54,2642.81,2663.19,2652.27,2679.13,2655.77,2625.32,2644.53,2662.07,2723.98,2591.64,2682.97,2646.66,2657.5,2627.95,2648.41,2686.04,2645.09,2682.32,2666.24,2659.5,2655.69,2646.82,2634.13,2631.53,2621.44,2675.19,2670.09,2635.3,2664.39,2650.24,2686.25,2699.06,2645.64,2635.94,2671.64,2691.34,2649.99,2663.07,2677.76,2663.02,2659.47,2663.71,2677.45,2693.77,2689.69,2625.4,2659.82,2664.51,2646.92,2661.77,2646.16,2679.2,2654.79,2681.73,7
4200,1302.11,1223.0,1199.59,1266.21,1239.2,1286.34,1266.89,1274.14,1253.07,1239.48,1277.37,1218.33,1276.32,1245.51,1270.49,1224.48,1214.75,1275.71,1222.72,1240.2,1231.66,1256.83,1195.71,1283.16,1291.11,1225.97,1253.88,1283.88,1278.07,1259.16,1295.66,1286.98,1198.69,1256.18,1269.09,1269.72,1270.62,1282.84,1258.64,1263.35,1281.54,1279.61,1285.93,1257.31,1221.58,1232.37,1229.4,1249.25,1247.31,1273.91,1236.66,1216.36,1287.09,1270.49,1292.68,1185.47,1235.87,1254.64,1257.41,1228.72,1235.59,1293.21,1231.81,1251.95,1246.41,1272.45,1263.14,1235.03,1255.16,1210.82,1193.01,1275.77,1267.74,1240.07,1236.5,1256.2,1259.27,1320.04,1231.24,1251.64,1286.24,1291.31,1270.15,1280.81,1266.54,1257.35,1233.02,1251.15,1279.68,1289.71,1289.36,1212.36,1250.61,1243.55,1252.48,1245.6,1232.02,1282.77,1222.63,1249.61,7
4900,216.325,133.72899999999998,153.80100000000002,186.533,172.41,181.923,139.674,180.085,164.21400000000003,185.476,208.405,174.86700000000002,169.967,181.87099999999998,210.535,151.63,150.014,181.578,142.066,151.254,149.763,208.791,140.851,200.736,214.957,146.641,180.795,192.29,210.889,185.535,194.047,161.688,132.189,168.095,176.525,145.912,209.78599999999997,199.90400000000002,153.539,179.826,193.63400000000001,159.757,217.037,187.71400000000003,137.071,141.025,118.435,194.511,143.093,207.875,151.561,133.067,217.176,195.915,192.55900000000003,121.104,166.206,208.808,150.70600000000002,144.537,160.44799999999998,197.34,160.75799999999998,173.06900000000002,175.21900000000002,188.45,209.683,153.90200000000002,160.92,170.332,133.986,153.445,168.081,170.084,182.15099999999998,182.09,170.35,217.81400000000002,186.093,187.55599999999998,208.46200000000002,223.195,183.683,217.33700000000002,178.502,184.91,150.851,153.536,154.674,167.66,190.278,113.412,187.093,154.401,172.03900000000002,193.68599999999998,148.046,194.78599999999997,132.428,165.408,7
5600,1.8071700000000002,1.54954,1.7756900000000002,1.93422,1.72098,1.7149400000000001,1.70957,1.66293,1.67756,1.8304799999999999,1.76499,1.6455099999999998,1.8193700000000002,1.79866,1.72944,1.5943200000000002,1.52701,1.6695,1.6205100000000001,1.64115,1.59475,1.82683,1.56809,1.7966799999999998,1.94628,1.4943600000000001,1.57356,1.76378,1.9348,1.75963,1.7540799999999999,1.6509,1.47777,1.69504,1.9061299999999999,1.66504,2.00733,1.8726900000000002,1.7157900000000001,1.80762,1.59568,1.61727,1.8873,1.6367399999999999,1.57261,1.54237,1.5025,1.69766,1.60836,1.96565,1.58762,1.52132,1.7435,1.8495099999999998,1.85737,1.51803,1.8380400000000001,1.71049,1.6643700000000001,1.60131,1.73363,1.6785700000000001,1.62875,1.75049,1.83362,1.7298,1.8904299999999998,1.58558,1.62077,1.7936599999999998,1.63495,1.64303,1.58253,1.7214200000000002,1.79135,1.5635,1.78318,2.03868,1.6822099999999998,1.8378400000000001,1.87054,1.99875,1.7415900000000002,1.83427,1.7128599999999998,1.9157099999999998,1.59345,1.7215200000000002,1.4979200000000001,1.70383,1.8815099999999998,1.4269100000000001,1.83578,1.61026,1.76132,2.01075,1.67038,1.7906799999999998,1.7066599999999998,1.67609,7
6300,0.852974,0.9369959999999999,0.904782,0.9423940000000001,0.8789870000000001,0.864246,0.874835,0.885015,0.8791110000000001,0.8841040000000001,0.8574350000000001,0.915783,0.940941,0.9241950000000001,0.9179309999999999,0.8920799999999999,0.863972,0.895617,0.8704149999999999,0.9301959999999999,0.885084,0.91225,0.82515,0.903242,0.8836729999999999,0.8133279999999999,0.888717,0.8912329999999999,0.848922,0.9426110000000001,0.886166,0.854678,0.8295440000000001,0.90346,0.9914059999999999,0.855017,0.948917,0.8642209999999999,0.846144,0.9156200000000001,0.885324,0.886325,0.873448,0.891567,0.8639209999999999,0.9180649999999999,0.8516,0.840773,0.875014,0.919559,0.9006649999999999,0.8915540000000001,0.884735,0.889876,0.9234829999999999,0.892128,0.9038120000000001,0.9302040000000001,0.837817,0.871922,0.9173049999999999,0.876566,0.874075,0.966248,0.8907209999999999,0.8773690000000001,0.934631,0.8268840000000001,0.906985,0.924523,0.8668440000000001,0.848292,0.879017,0.884234,0.951377,0.8697959999999999,0.856332,0.883603,0.855567,0.8757799999999999,0.874143,0.9095709999999999,0.8841200000000001,0.874906,0.891634,0.814163,0.871958,0.9103379999999999,0.8867780000000001,0.926107,0.8988940000000001,0.8468959999999999,0.9126,0.8459,0.81455,0.841533,0.8643850000000001,0.880007,0.9054780000000001,0.8749969999999999,7
7000,0.7899520000000001,0.77745,0.779662,0.7352529999999999,0.8142020000000001,0.766302,0.811044,0.800222,0.7912560000000001,0.785845,0.823131,0.7668229999999999,0.832152,0.781458,0.77646,0.825933,0.8031659999999999,0.786733,0.750819,0.7820560000000001,0.712735,0.763971,0.803616,0.8072199999999999,0.8239,0.7317739999999999,0.806619,0.804953,0.7989539999999999,0.811624,0.82189,0.755319,0.820941,0.760177,0.832103,0.734421,0.783794,0.800392,0.772241,0.825536,0.767712,0.705941,0.7862520000000001,0.778316,0.777609,0.779517,0.809559,0.7951699999999999,0.780103,0.792024,0.804826,0.769134,0.816444,0.807104,0.800003,0.7627390000000001,0.785378,0.772515,0.83431,0.790253,0.7586189999999999,0.808159,0.7781060000000001,0.794129,0.78745,0.792991,0.8456549999999999,0.713538,0.815943,0.812124,0.815941,0.7794270000000001,0.80769,0.805476,0.7721210000000001,0.816149,0.74263,0.821449,0.757472,0.768864,0.800545,0.791189,0.808127,0.782709,0.766947,0.8070689999999999,0.744888,0.829516,0.733229,0.764891,0.796455,0.78904,0.77978,0.751111,0.754648,0.8113229999999999,0.791845,0.815597,0.777381,0.7824949999999999,7
