Generation,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100,pop
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,500
3000,8286.83,8270.88,8275.32,8286.44,8305.39,8286.66,8288.24,8298.94,8298.17,8293.29,8283.71,8292.1,8299.85,8283.55,8300.16,8274.56,8291.59,8290.32,8293.95,8280.24,8273.06,8298.69,8288.33,8292.75,8301.41,8277.0,8301.98,8300.81,8298.67,8290.62,8272.78,8278.11,8277.59,8296.68,8274.74,8297.84,8261.63,8299.23,8263.85,8284.13,8274.28,8272.68,8289.61,8265.43,8306.93,8294.69,8301.57,8297.98,8298.97,8287.97,8279.38,8273.44,8297.96,8308.24,8265.78,8298.86,8266.05,8289.79,8278.24,8281.0,8283.48,8296.58,8296.87,8292.89,8281.34,8286.35,8289.59,8281.17,8278.12,8283.44,8283.09,8289.36,8272.39,8296.74,8277.78,8278.23,8278.29,8297.41,8275.78,8299.22,8287.18,8302.62,8279.42,8310.06,8291.99,8282.49,8274.52,8277.92,8294.4,8281.78,8298.53,8282.52,8281.94,8307.82,8290.16,8283.83,8284.16,8265.15,8285.44,8286.22,500
6000,6670.9,6669.04,6682.84,6703.52,6703.04,6682.35,6666.06,6688.67,6687.09,6716.46,6670.58,6715.87,6676.36,6667.32,6708.38,6655.11,6694.04,6717.33,6707.91,6674.33,6660.31,6694.71,6685.23,6676.42,6713.59,6685.16,6691.81,6718.96,6704.34,6691.38,6678.43,6665.09,6682.91,6703.81,6699.66,6685.36,6669.58,6723.78,6688.58,6708.39,6670.98,6662.84,6683.78,6663.63,6713.89,6704.72,6698.68,6681.76,6708.34,6696.62,6689.25,6679.3,6694.23,6713.44,6678.78,6723.47,6675.83,6685.18,6679.16,6689.68,6682.24,6716.26,6682.32,6693.32,6693.75,6673.25,6700.91,6681.28,6675.78,6703.09,6683.54,6694.53,6668.14,6700.81,6682.61,6693.31,6693.5,6680.73,6686.38,6695.27,6680.65,6706.18,6681.85,6708.21,6699.02,6679.66,6656.74,6681.93,6707.77,6685.29,6688.4,6704.63,6687.43,6705.22,6705.16,6692.17,6695.38,6666.84,6715.47,6675.18,500
9000,5092.41,5105.11,5095.21,5113.85,5130.2,5104.11,5060.98,5128.9,5109.07,5125.76,5107.37,5137.4,5092.6,5091.38,5103.39,5087.08,5135.44,5144.33,5117.65,5099.2,5085.26,5099.99,5120.86,5099.69,5124.83,5123.21,5140.41,5140.0,5104.35,5116.28,5095.73,5079.52,5111.79,5121.11,5114.38,5116.15,5087.08,5127.09,5117.8,5134.51,5090.19,5119.14,5121.22,5069.19,5160.72,5120.06,5122.96,5118.11,5124.56,5125.27,5123.48,5099.45,5126.32,5138.21,5098.08,5128.09,5078.76,5107.48,5080.03,5132.66,5094.21,5138.4,5095.75,5087.88,5120.73,5099.6,5142.95,5112.19,5092.09,5126.9,5113.35,5126.25,5082.03,5130.58,5110.96,5088.78,5126.31,5112.8,5130.48,5136.39,5113.6,5122.43,5091.9,5139.0,5124.82,5104.72,5066.96,5104.07,5133.7,5106.51,5125.62,5114.07,5106.0,5145.81,5110.74,5091.8,5099.33,5088.12,5133.58,5102.19,500
12000,3533.84,3538.41,3510.23,3532.37,3563.39,3535.79,3510.79,3567.24,3537.38,3523.15,3517.9,3550.73,3517.88,3522.38,3555.58,3515.81,3548.36,3587.57,3559.44,3513.68,3514.47,3534.69,3570.73,3533.88,3553.93,3549.33,3554.59,3594.44,3522.07,3526.5,3512.4,3529.7,3541.12,3538.39,3523.08,3542.34,3517.5,3560.63,3537.41,3554.49,3514.35,3566.08,3566.98,3506.48,3587.42,3532.65,3536.35,3535.03,3549.15,3547.84,3540.3,3521.34,3543.79,3580.8,3517.73,3563.22,3516.69,3523.47,3512.25,3552.65,3515.21,3538.13,3525.04,3517.53,3540.91,3532.03,3575.27,3545.01,3505.85,3579.15,3543.29,3554.44,3519.07,3531.09,3562.99,3518.17,3561.72,3545.02,3553.68,3567.79,3530.57,3536.05,3517.0,3548.0,3560.21,3548.77,3481.97,3540.06,3554.92,3533.51,3552.68,3526.7,3511.12,3565.0,3546.53,3534.25,3532.99,3533.91,3569.11,3524.46,500
15000,1987.93,2002.64,1919.29,1966.02,2017.67,2008.35,1984.71,1981.66,1981.66,1979.13,1967.85,2016.48,1981.89,1971.48,2027.39,1965.67,2016.11,2029.16,2020.54,1972.83,1967.19,1992.88,2013.73,1999.27,2008.68,1976.53,2015.26,2071.87,1977.14,1926.59,1957.48,1963.43,1997.66,2023.78,1947.41,2025.26,1974.21,2000.01,1977.34,2005.67,1989.39,1989.56,1952.08,1969.74,2016.26,1978.99,1998.92,2029.76,1963.13,2012.07,1958.59,1982.8,2003.23,2029.04,1958.13,1986.52,1994.93,1939.11,1993.42,2002.39,1993.04,1976.82,1980.26,1976.65,2029.3,1952.68,2016.87,1946.02,1976.8,2058.15,1949.86,1982.2,1981.44,1964.42,2026.86,1986.89,1980.86,1967.75,2009.7,1983.38,1977.89,1972.67,1980.61,2011.62,2006.75,1995.02,1949.83,2016.48,1995.56,1950.83,1985.11,1991.73,1995.03,2000.94,1993.85,1984.35,1975.01,1978.72,2001.5,1965.76,500
18000,749.872,741.457,702.03,698.581,769.919,748.039,732.3810000000001,749.893,700.221,733.175,669.043,740.753,722.948,715.76,754.862,681.7510000000001,767.446,765.823,774.414,705.8560000000001,716.183,727.793,787.6160000000001,686.442,761.471,736.013,764.91,765.6360000000001,744.547,719.7330000000001,724.925,699.0239999999999,739.431,743.541,699.887,746.817,700.9780000000001,719.405,747.7869999999999,710.9910000000001,706.14,712.433,693.311,706.59,724.748,747.955,730.663,733.768,740.329,735.6489999999999,718.62,698.7710000000001,734.341,768.3760000000001,712.1439999999999,741.2130000000001,717.82,690.182,774.8660000000001,756.78,747.4889999999999,754.513,747.659,725.428,756.421,686.752,767.8910000000001,724.8430000000001,741.747,789.22,739.939,720.487,739.9730000000001,795.3910000000001,789.938,719.6030000000001,696.23,744.1310000000001,735.0139999999999,757.2810000000001,715.6360000000001,699.471,738.175,740.23,741.54,784.752,716.4680000000001,790.1310000000001,755.665,702.01,725.395,737.683,721.4989999999999,724.2489999999999,725.4989999999999,726.429,713.3839999999999,742.039,750.284,760.327,500
21000,179.412,188.53400000000002,145.716,144.92,177.903,182.329,175.18599999999998,156.57,159.503,162.71,138.99200000000002,180.609,167.604,154.95600000000002,164.635,147.06,173.449,176.69099999999997,178.588,148.149,154.834,156.07,178.843,137.63,175.793,177.636,171.783,167.35,170.239,159.555,157.27100000000002,165.90900000000002,187.19299999999998,174.489,152.064,183.297,152.429,156.832,133.20600000000002,153.082,162.165,160.273,162.174,160.811,160.558,157.569,150.072,161.356,159.891,160.806,166.17700000000002,162.071,154.533,165.15200000000002,153.872,158.58100000000002,155.467,163.793,176.446,182.919,178.173,161.125,157.93200000000002,167.679,166.158,152.947,154.762,180.204,163.509,172.33599999999998,155.691,163.329,179.28099999999998,183.813,197.995,173.968,153.32,165.268,169.732,150.273,127.81200000000001,156.842,154.804,171.92700000000002,170.15200000000002,179.76,163.407,182.753,163.81799999999998,152.02700000000002,148.782,152.661,158.941,142.77700000000002,169.801,159.642,162.869,171.69799999999998,187.607,160.968,500
24000,62.4459,60.5748,60.5585,61.9218,61.7156,66.5539,61.88,61.7193,60.5329,65.0868,57.6349,65.8665,64.3842,65.8047,65.6919,58.9965,65.2669,61.394,61.5659,56.528,58.8372,63.2286,60.103,58.1291,62.6843,65.5913,62.637,65.0337,63.7403,60.1355,63.9273,65.764,62.0854,62.048,59.5975,64.2282,63.5272,58.5947,58.1577,60.2666,61.00899999999999,64.2892,63.0519,61.6458,58.8469,59.2948,57.5725,60.9951,59.1498,67.5481,63.0963,57.5621,63.5745,61.501999999999995,55.5343,63.5894,59.5238,65.8147,60.9917,64.3974,60.7507,60.4447,65.5978,62.2494,61.4426,58.7435,62.4381,64.3597,57.725,61.5066,60.0747,62.4404,63.318000000000005,60.4795,66.21,60.3693,59.3686,53.7247,59.6176,65.4555,59.165,65.4645,63.7078,67.1525,62.8186,65.0155,57.6069,60.3614,61.3541,62.1886,63.3846,61.6564,62.2858,61.7564,65.3045,67.2999,62.4471,61.1283,67.8622,65.2175,500
27000,54.8988,57.7087,58.3516,53.6036,55.2381,56.2321,54.6821,55.8643,55.7331,57.9234,55.9579,56.9149,54.7618,56.903,56.843999999999994,55.1377,57.2824,57.7576,56.6677,58.4802,56.0057,57.9687,54.4627,52.8438,55.3471,53.8942,59.2945,55.9933,55.6504,56.4538,56.4447,59.5593,55.4327,58.5123,55.7847,57.4211,55.1681,56.8661,53.2834,56.0762,56.0015,55.4893,56.8164,55.3033,56.5056,55.6216,57.608999999999995,57.8771,55.0235,56.8806,58.3836,56.34,57.354,54.8403,57.8068,55.1625,56.0382,58.5099,57.3989,54.868,55.9073,56.9881,55.113,57.3868,56.7598,55.7894,56.4415,58.9885,57.4241,55.9956,56.6322,56.9831,56.9557,55.7616,54.9302,56.4325,56.7747,57.3076,55.145,54.5953,56.4597,56.9432,56.9563,58.9219,53.5175,54.8186,55.5425,54.0232,55.3705,56.0425,56.865,56.5995,55.7318,56.3294,54.8314,55.7824,57.231,53.8021,57.8245,58.0675,500
