Generation,seed_201,seed_202,seed_203,seed_204,seed_205,seed_206,seed_207,seed_208,seed_209,seed_210,seed_211,seed_212,seed_213,seed_214,seed_215,seed_216,seed_217,seed_218,seed_219,seed_220,seed_221,seed_222,seed_223,seed_224,seed_225,seed_226,seed_227,seed_228,seed_229,seed_230,seed_231,seed_232,seed_233,seed_234,seed_235,seed_236,seed_237,seed_238,seed_239,seed_240,seed_241,seed_242,seed_243,seed_244,seed_245,seed_246,seed_247,seed_248,seed_249,seed_250,seed_251,seed_252,seed_253,seed_254,seed_255,seed_256,seed_257,seed_258,seed_259,seed_260,seed_261,seed_262,seed_263,seed_264,seed_265,seed_266,seed_267,seed_268,seed_269,seed_270,seed_271,seed_272,seed_273,seed_274,seed_275,seed_276,seed_277,seed_278,seed_279,seed_280,seed_281,seed_282,seed_283,seed_284,seed_285,seed_286,seed_287,seed_288,seed_289,seed_290,seed_291,seed_292,seed_293,seed_294,seed_295,seed_296,seed_297,seed_298,seed_299,seed_300
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
1000,9697.71,9698.2,9700.51,9712.13,9706.5,9697.07,9702.85,9702.65,9714.64,9704.95,9702.66,9712.47,9698.52,9709.26,9697.98,9706.26,9704.17,9704.83,9711.59,9709.0,9702.39,9704.45,9691.06,9703.49,9702.77,9701.98,9695.63,9698.22,9713.38,9690.9,9699.93,9690.94,9698.99,9714.42,9697.34,9705.71,9714.54,9688.7,9699.93,9698.89,9707.64,9697.16,9703.36,9698.08,9698.41,9710.81,9693.14,9707.23,9707.23,9704.89,9696.56,9690.92,9705.26,9699.1,9706.67,9707.39,9705.41,9688.9,9703.49,9710.58,9696.71,9706.55,9701.92,9715.59,9711.74,9692.32,9700.53,9702.25,9689.22,9699.06,9695.76,9708.66,9697.11,9695.09,9701.94,9680.25,9698.39,9703.19,9703.66,9700.28,9706.97,9704.24,9703.09,9702.34,9704.74,9700.2,9703.54,9701.89,9697.85,9687.75,9705.75,9694.93,9693.95,9707.02,9697.47,9689.93,9712.11,9694.83,9702.18,9701.73
2000,9426.58,9420.26,9426.01,9436.1,9442.14,9415.43,9441.5,9437.22,9445.4,9428.83,9421.49,9446.07,9435.45,9443.91,9429.27,9437.71,9440.92,9437.15,9453.27,9431.57,9442.89,9440.49,9417.17,9446.34,9436.04,9446.24,9424.9,9437.23,9449.98,9429.23,9432.46,9428.3,9436.57,9441.32,9429.16,9434.17,9453.03,9414.08,9429.48,9423.87,9435.86,9430.97,9426.48,9426.84,9440.49,9446.2,9431.09,9428.53,9435.15,9450.31,9422.21,9424.02,9436.1,9448.75,9431.25,9446.81,9449.58,9420.15,9441.66,9450.76,9431.69,9443.58,9436.77,9441.88,9436.37,9423.34,9419.67,9439.51,9428.68,9416.29,9436.74,9443.56,9425.97,9423.47,9416.07,9401.48,9420.81,9429.12,9438.05,9437.38,9438.8,9433.81,9422.78,9424.82,9436.99,9435.18,9429.69,9415.98,9417.23,9416.43,9443.6,9432.96,9425.07,9426.31,9429.64,9414.73,9439.99,9413.16,9419.67,9437.97
3000,9172.08,9169.7,9163.59,9181.38,9182.59,9163.55,9176.01,9169.42,9182.72,9169.01,9156.76,9189.38,9170.91,9184.91,9175.16,9189.36,9174.22,9172.52,9199.81,9176.0,9182.52,9175.85,9150.94,9181.82,9182.94,9182.77,9172.73,9169.63,9202.71,9156.58,9175.42,9163.55,9167.03,9180.57,9174.72,9178.45,9199.35,9152.76,9155.88,9164.09,9164.26,9169.3,9144.9,9174.34,9179.21,9182.22,9167.58,9161.53,9176.11,9188.69,9157.34,9161.0,9179.74,9188.92,9172.24,9200.41,9188.96,9153.46,9180.43,9195.24,9163.47,9189.3,9180.06,9182.97,9186.23,9162.22,9163.85,9179.16,9166.51,9147.3,9177.11,9184.43,9181.31,9162.31,9139.34,9130.47,9167.96,9175.13,9183.82,9177.78,9182.24,9162.58,9153.1,9175.69,9173.79,9181.3,9175.47,9160.94,9152.25,9159.04,9183.28,9175.11,9170.36,9164.26,9164.06,9162.86,9194.11,9159.84,9166.04,9180.44
4000,8914.85,8916.91,8903.82,8921.96,8923.15,8899.87,8918.54,8900.82,8931.78,8901.31,8898.34,8928.06,8902.63,8938.44,8915.71,8940.02,8927.37,8914.89,8957.36,8919.05,8919.38,8932.99,8893.29,8931.32,8925.02,8922.93,8902.87,8913.16,8954.93,8895.41,8928.44,8912.53,8910.66,8932.42,8914.2,8921.31,8943.99,8901.6,8897.84,8908.5,8915.42,8916.31,8884.71,8908.23,8920.54,8916.67,8906.57,8911.58,8918.81,8936.62,8896.27,8902.58,8937.45,8930.27,8908.87,8944.97,8929.2,8901.13,8914.75,8926.99,8898.12,8930.91,8929.12,8920.35,8917.29,8892.19,8901.61,8930.95,8922.24,8872.35,8921.13,8926.36,8935.67,8915.99,8884.88,8869.2,8907.68,8910.71,8921.7,8921.16,8922.68,8907.37,8893.96,8919.28,8914.21,8920.97,8917.12,8903.67,8891.07,8897.33,8924.38,8926.48,8915.56,8906.44,8903.0,8898.35,8933.23,8906.12,8914.32,8923.57
5000,8647.96,8661.7,8657.3,8677.34,8663.33,8646.61,8663.11,8645.39,8678.82,8652.44,8639.57,8670.88,8645.43,8687.47,8663.99,8688.76,8663.94,8659.55,8700.38,8667.86,8662.4,8669.19,8639.37,8669.12,8673.66,8667.38,8643.93,8653.1,8708.61,8637.24,8683.11,8658.69,8660.41,8668.4,8657.4,8675.23,8693.91,8663.14,8653.52,8644.24,8656.79,8653.68,8626.17,8656.85,8649.61,8675.86,8664.63,8648.07,8669.91,8671.56,8646.83,8643.76,8682.19,8678.51,8650.52,8681.6,8666.4,8650.85,8655.5,8664.72,8638.58,8670.74,8682.09,8668.04,8655.14,8646.49,8646.94,8686.5,8656.45,8622.11,8659.05,8667.95,8682.48,8664.32,8627.66,8615.91,8654.21,8644.54,8651.2,8679.78,8662.4,8655.07,8652.74,8666.01,8670.65,8661.65,8671.26,8654.73,8639.64,8652.86,8663.05,8678.93,8660.68,8651.52,8651.58,8640.55,8679.55,8653.64,8657.0,8683.41
6000,8386.28,8404.16,8401.25,8421.59,8411.56,8407.57,8410.8,8400.87,8430.25,8403.08,8374.73,8417.49,8382.16,8441.13,8406.64,8431.78,8411.9,8413.82,8457.21,8418.94,8405.9,8411.65,8379.38,8420.11,8417.08,8421.74,8397.88,8393.59,8443.7,8376.7,8427.65,8396.2,8411.33,8398.21,8399.92,8412.69,8435.07,8405.4,8405.43,8389.09,8401.76,8403.82,8371.97,8402.15,8397.71,8426.97,8405.77,8384.74,8411.52,8429.52,8388.35,8382.3,8426.49,8427.76,8397.63,8427.29,8401.94,8398.94,8413.46,8419.05,8391.31,8413.89,8429.0,8413.29,8405.33,8371.86,8395.86,8426.12,8402.82,8357.53,8409.16,8421.85,8429.79,8419.69,8371.28,8372.76,8401.77,8390.9,8391.42,8427.0,8413.57,8402.29,8389.35,8415.43,8420.14,8413.72,8425.37,8403.22,8389.69,8393.83,8406.74,8423.96,8408.21,8390.35,8397.0,8381.33,8427.03,8409.36,8409.46,8435.26
7000,8137.18,8159.24,8150.77,8172.67,8150.32,8158.64,8152.96,8150.13,8176.2,8154.44,8132.9,8164.92,8130.22,8183.03,8149.04,8176.62,8160.04,8152.05,8201.56,8159.04,8144.57,8152.53,8116.2,8172.99,8160.72,8176.56,8141.38,8142.99,8183.37,8110.95,8184.94,8149.35,8152.89,8139.95,8157.85,8157.27,8184.39,8147.83,8150.79,8138.35,8152.24,8148.44,8121.48,8146.99,8133.82,8169.69,8152.96,8132.07,8146.61,8170.43,8152.5,8132.21,8183.18,8176.73,8135.77,8178.63,8150.07,8134.58,8159.32,8161.71,8138.05,8156.66,8167.14,8159.74,8157.89,8119.96,8141.17,8163.7,8148.54,8095.49,8163.99,8165.14,8160.12,8155.05,8111.11,8126.09,8144.18,8135.43,8130.72,8175.53,8168.24,8149.76,8145.23,8165.29,8165.1,8169.22,8167.83,8152.8,8124.19,8146.54,8150.89,8184.87,8160.04,8126.52,8141.22,8116.35,8181.12,8151.57,8157.63,8185.2
8000,7885.27,7904.63,7894.82,7916.1,7898.31,7910.29,7899.36,7905.78,7923.2,7896.79,7884.31,7914.48,7876.27,7929.39,7901.94,7916.61,7908.54,7908.18,7941.69,7894.09,7890.32,7901.73,7862.61,7920.0,7910.29,7934.25,7895.17,7895.46,7930.39,7864.9,7937.59,7874.87,7895.57,7887.97,7903.76,7912.08,7940.09,7889.11,7902.16,7888.24,7900.57,7901.22,7870.61,7894.46,7884.49,7924.47,7904.93,7882.3,7883.11,7926.04,7900.15,7869.4,7924.98,7936.06,7880.85,7911.7,7908.79,7884.81,7903.09,7922.11,7883.84,7913.26,7920.24,7904.34,7892.64,7871.73,7893.55,7918.76,7903.01,7843.11,7907.97,7920.65,7905.8,7906.97,7852.87,7880.49,7898.3,7884.45,7885.14,7928.78,7911.45,7898.29,7883.54,7913.05,7910.13,7918.83,7906.96,7904.13,7893.63,7899.55,7883.9,7935.25,7904.93,7876.83,7884.94,7854.4,7933.83,7902.33,7900.98,7928.74
9000,7635.8,7648.41,7646.77,7668.6,7653.68,7650.7,7637.64,7659.1,7671.76,7646.99,7617.47,7659.08,7622.21,7683.75,7656.28,7651.88,7653.9,7659.02,7689.71,7652.3,7639.6,7655.61,7618.22,7676.33,7657.93,7689.07,7617.38,7639.07,7676.01,7614.06,7701.63,7623.85,7650.55,7633.84,7634.1,7656.7,7700.58,7642.35,7646.22,7641.89,7659.75,7651.99,7612.76,7637.63,7631.65,7667.07,7648.61,7634.69,7639.78,7676.08,7637.06,7618.24,7671.96,7672.33,7618.71,7659.75,7656.66,7637.22,7652.44,7671.74,7627.73,7672.75,7669.88,7653.46,7648.5,7613.98,7630.36,7654.04,7651.32,7586.23,7643.65,7653.83,7650.82,7661.49,7612.32,7627.16,7654.62,7645.87,7638.84,7675.07,7652.6,7635.99,7633.53,7664.54,7655.07,7678.14,7648.41,7641.55,7640.55,7641.68,7637.94,7684.92,7655.51,7624.97,7632.81,7611.75,7688.1,7662.29,7651.27,7679.99
